,3XO,4XO,5XO,6XO,7XO,8XO,9XO,3XY,4XY,5XY,6XY,7XY,8XY,9XY,3Neo.XY,4Neo.XY,5Neo.XY,6Neo.XY,7Neo.XY,8Neo.XY,9Neo.XY,3XXY/XYY,4XXY/XYY,5XXY/XYY,6XXY/XYY,7XXY/XYY,8XXY/XYY,9XXY/XYY
3XO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4XO,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5XO,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6XO,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7XO,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8XO,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9XO,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3XY,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
4XY,0,5,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,3,7,0,0,0,0,0
5XY,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,3,7,0,0,0,0
6XY,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,3,7,0,0,0
7XY,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,3,7,0,0
8XY,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,3,7,0
9XY,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,7
3Neo.XY,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4Neo.XY,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
5Neo.XY,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
6Neo.XY,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
7Neo.XY,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
8Neo.XY,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
9Neo.XY,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3XXY/XYY,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4XXY/XYY,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
5XXY/XYY,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
6XXY/XYY,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
7XXY/XYY,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
8XXY/XYY,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
9XXY/XYY,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0
