Kingdom,Higher.taxonomic.group,Order,Family,Genus,species,Sexual.System,Karyotype,notes..Karyotype,Genotypic,Haplodiploidy,notes..Haplodiploidy,Predicted.ploidy,Chromosome.number..female..2N,notes..Chromosome.number..female..2N,Chromosome.number..male..2N,notes..Chromosome.number..male..2N,notes..comments,entry.name,cite.key
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,squamata,gonochorous,XY,NeoXY,male heterogametic,,,,24,,24,,neo XY,Bachtrog/Blackmon,mola1994karyotype
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,grandis ,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,nokkala2002mitotic
Animal,Arthropoda,Odonata,Aeshnidae,Anax,imperator,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Aeshnidae,Anax,junius,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Aeshnidae,Anax,longipes,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Aeshnidae,Anax,parthenope,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Basiashna,janata,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Aeshnidae,Boyeria,vionsa,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Aeshnidae,Boyeria,maclachlani,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Castoraeschna,castor,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Coryphaeschna,adnexa,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Gynacantha,japonica,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Hemianax,ephippiger,gonochorous,XO,,male heterogametic,,,,14,,13,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Hemianax ,papuensis ,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1969sex
Animal,Arthropoda,Odonata,Aeshnidae,Oplonaeshna,armata,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Planaeschna ,milnei ,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1969sex
Animal,Arthropoda,Odonata,Agrionidae,Agrion,aequabile,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Agrionidae,Agrion,maculatum,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Agrionidae,Hetaerina ,americana,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Calopterygidae,Anaciagrion,cornelia,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Calopterygidae,Calopteryx,aequabile,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Calopterygidae,Calopteryx,atrata,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Calopterygidae,Calopteryx,maculata,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Calopterygidae,Calopteryx,splendens caprai,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Calopterygidae,Calopteryx,splendens splendens,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Calopterygidae,Calopteryx,virgo japonica,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Calopterygidae,Calopteryx,virgo meridionalis,gonochorous,XO,,male heterogametic,,,,27,"26,28",26,"25,27",micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Calopterygidae,Calopteryx,virgo padana,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Calopterygidae,Calopteryx,virgo virgo,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Calopterygidae,Matrona,basalaris,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Calopterygidae,Mnais,costalis,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Calopterygidae,Mnais,strigata,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Acanthagrion,ascendens,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Acanthagrion,chacoense,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Aeolagrion,foliaceum,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Agrion,funebris,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Agrion,sedula,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Agrion,violacea,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Agrion,vivida,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Amphiagrion,abbreviatum,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Argia,violacea ,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Argia,vivida ,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Ceratura,capreola,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Cercion,lindeni,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Ceriagrion,coromandeliamum,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Ceriagrion,cerinorubellum,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Ceriagrion,fallax,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Ceriagrion,rubiae,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Ceriagrion,tenellum tenellum,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Chromagrion,conditum,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Coenagrion,resolutum,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Coenagrion,armatum,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Coenagrion,hastulatum,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Coenagrion,hieroglyphicum,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Coenagrion,pulchellum,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Coenagrion,sp.,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Diceratobasis,macrogaster,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Enallagma,aspersum,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Enallagma,boreale,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Enallagma,carunculatum,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Enallagma,civile,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Enallagma,cyathigerum,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Enallagma,cyathigerum,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Enallagma,ebrium,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Enallagma,praevarum,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Erythromma,najas,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Ischnura,cervula,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Ischnura,denticollis,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Ischnura,perparva,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Ischnura,verticalis,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Ischnura,cf. ultima,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Ischnura,elegans,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Ischnura,fluviatilis,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Ischnura,senegalensis,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Leptagrion,macrurum,gonochorous,XY,NeoXY,male heterogametic,,,,30,,30,,neo XY,Bachtrog/Blackmon,kiauta1972leptagrion
Animal,Arthropoda,Odonata,Coenagrionidae,Magalagrion,oahuense,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Mortonagrion,selenion,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Nehalennia,irene,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Coenagrionidae,Nehalennia,speciosa,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Pseudagrion,australasiae,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Pseudagrion,decorum,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Pseudagrion,microcephalum,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Pseudagrion,rubriceps,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Pseudagrion,spencei,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Pyrrhosoma,nymphula,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Tigriagrion,aurantinigrum,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Coenagrionidae,Zoniagrion,exclamationis,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Cordulegasteridae,Antogaster,sieboldii,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Cordulegasteridae,Cordulegaster,diastatops ,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Cordulegasteridae,Cordulegaster,dorsalis ,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Cordulegasteridae,Cordulegaster,maculatus,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Cordulegasteridae,Cordulegaster,boltoni,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Cordulegasteridae,Cordulegaster,deserticola,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Cordulegasteridae,Cordulegaster,diastatops,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Cordulidae,Cordulia,shurtleffi ,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Cordulidae,Didymops,transversa,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Cordulidae,Dorocordulia,libera,gonochorous,XO,,male heterogametic,,,,14,,13,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Cordulidae,Ephitheca,canis,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Cordulidae,Ephitheca,cynosura,gonochorous,XO,,male heterogametic,,,,22,,21,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Cordulidae,Ephitheca,semiaquea,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Cordulidae,Ephitheca,spinigera,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Cordulidae,Macromia,magnifica,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Cordulidae,Somatochlora,semicircularis,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Cordulidae,Somatochlora ,metallica ,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,nokkala2002mitotic
Animal,Arthropoda,Odonata,Corduliidae,Cordulia,aenea,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Corduliidae,Epicodulia,princeps,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Corduliidae,Epitheca,canis,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Corduliidae,Epitheca,cynosura,gonochorous,XO,,male heterogametic,,,,21,"20,22",20,"19,21",,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Corduliidae,Epitheca,semiaqua,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Corduliidae,Epitheca,spinigera,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Corduliidae,Epopthalmia,frontalis frontalis,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Corduliidae,Somatochlora,flavomaculata,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Corduliidae,Somatochlora,metallica,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Corduliidae,Somatochlora,uchidai,gonochorous,XO,,male heterogametic,,,,26,,25,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Corduliidae,Somatochlora,viridiaenea,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Corduliidae,Tetragoneuria,petechialis,gonochorous,XO,,male heterogametic,,,,22,,21,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Corduliidae,Tetragoneuria,spinigera,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Epallagidae,Epallage,fatime,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,kiauta1970karyotype
Animal,Arthropoda,Odonata,Epiophlebiidae,Epiophlebia,superstes,gonochorous,XO,,male heterogametic,,,,26,,25,,,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Gomphidae,Anisogomphus,bivittatus,gonochorous,XO,,male heterogametic,,,,24,,23,,micro chromosomes present,Bachtrog/Blackmon,kiauta1969sex
Animal,Arthropoda,Odonata,Gomphidae,Aphylla,edentata,gonochorous,XO,,male heterogametic,,,,24,,23,,,Bachtrog/Blackmon,kiauta1969sex
Animal,Arthropoda,Odonata,Gomphidae,Aphylla,producta,gonochorous,XO,,male heterogametic,,,,24,,23,,,Bachtrog/Blackmon,kiauta1969sex
Animal,Arthropoda,Odonata,Gomphidae,Dromogomphus,spinosus,gonochorous,XO,,male heterogametic,,,,24,,23,,micro chromosomes present,Bachtrog/Blackmon,cruden1968chromosome
