Kingdom,Higher.taxonomic.group,Order,Family,Genus,species,Sexual.System,Karyotype,notes..Karyotype,Genotypic,Haplodiploidy,notes..Haplodiploidy,Predicted.ploidy,Chromosome.number..female..2N,notes..Chromosome.number..female..2N,Chromosome.number..male..2N,notes..Chromosome.number..male..2N,notes..comments,entry.name,cite.key
Animal,Arthropoda,Odonata,Aeshnidae,Acanthaeschna,anacantha,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Acanthaeschna,multipunctata,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,canadensis ,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,umbrosa occidentalis,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,umbrosa umbrosa,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,walkeri,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,cruden1968chromosome
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,mixta ,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,kiauta1969sex
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,cf. unicolor,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,clepsydra,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,crenata,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,cyanea,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,diffinis diffinis,gonochorous,XO,,male heterogametic,,,,22,,21,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,intricata,gonochorous,XO,,male heterogametic,,,,20,,19,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,juncea,gonochorous,XO|XY,,male heterogametic,,,,27,"28,26",27,"27,26",micro chromosomes present - XY = neo XY,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,palmate,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,peralta,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,serrata fennica,gonochorous,XY,,male heterogametic,,,,26,,26,,micro chromosomes present - neo XY,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,subartica elisabethae,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,verticalis,gonochorous,XO,,male heterogametic,,,,28,,27,,micro chromosomes present,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,virdis,gonochorous,XY,,male heterogametic,,,,26,,26,,micro chromosomes present - neo XY,Bachtrog/Blackmon,kiauta1972synopsis
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,bonariensis ,gonochorous,XY,large neo XY,male heterogametic,,,,26,,26,,,Bachtrog/Blackmon,mola1994karyotype
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,coerulea,gonochorous,XY,NeoXY,male heterogametic,,,,24,,24,,neo XY,Bachtrog/Blackmon,mola1994karyotype
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,confusa ,gonochorous,XO,,male heterogametic,,,,28,,27,,,Bachtrog/Blackmon,mola1994karyotype
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,cornigera planaltica ,gonochorous,XY,small neo XY,male heterogametic,,,,16,,16,,,Bachtrog/Blackmon,mola1994karyotype
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,grandis ,gonochorous,XY,neo XY - large neo-XY micro chromosomes present,male heterogametic,,,,26,,26,,,Bachtrog/Blackmon,mola1994karyotype
Animal,Arthropoda,Odonata,Aeshnidae,Aeshna,juncea,gonochorous,XY,neo XY - heteropynosis of neo-Y,male heterogametic,,,,26,,26,,,Bachtrog/Blackmon,mola1994karyotype
