Infra.Class,Order,Family,Common.name,Species,Synonym.,X2n
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Haliaeetus leucoryphus,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Haliaeetus pelagicus,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Haliaeetus vocifer,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Haliastur indus,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Harpia harpyja,Buteo albicaudatus,58
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Leptodon cayanensis,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Lophaetus occipitalis,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Milvus migrans,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Morphnus guianensis,Buteo albicaudatus,54
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Necrosyrtes monachus,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Neophron percnopterus,Buteo albicaudatus,66
