Infra.Class,Order,Family,Common.name,Species,Synonym.,X2n
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Aythya valisineria,Eulabeia indica,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Branta canadensis,Eulabeia indica,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Bucephala clangula,Eulabeia indica,84
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Bucephala clangula americana,Eulabeia indica,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Cairina moschata,Eulabeia indica,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Cereopsis novaehollandiae,Eulabeia indica,92
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Chloephaga rubidiceps,Eulabeia indica,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Coscoroba coscoroba,Eulabeia indica,98
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Cygnus cygnus,Eulabeia indica,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Cygnus melancoryphus,Eulabeia indica,78
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Cygnus olor,Eulabeia indica,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Dendrocygna bicolor,Eulabeia indica,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Lophodytes cucullatus,Mergus cucullatus,82
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Mareca strepera,Anas strepera,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Mergus merganser,Anas strepera,82
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Mergus serrator,Anas strepera,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Netta rufina,Anas strepera,82
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Oxyura jamaicensis,Anas strepera,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Sarkidiornis melanotos,Anas strepera,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Somateria mollissima,Anas strepera,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Spatula clypeata,Anas clypeata,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Spatula discors,Anas discors,80
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Spatula querquedula,Anas querquedula,74
NEOGNATHAE,ANSERIFORMES,Anatidae,"Ducks, Geese and Swans",Tadorna tadorna,Anas querquedula,82
NEOGNATHAE,ANSERIFORMES,Anhimidae,Screamers,Chauna chavaria,Anas querquedula,80
NEOGNATHAE,ANSERIFORMES,Anseranatidae,Magpie Goose,Anseranas semipalmata,Anas querquedula,78
NEOGNATHAE,GALLIFORMES,Cracidae,"Chachalacas, Curassows and Guans",Crax fasciolata,Anas querquedula,88
NEOGNATHAE,GALLIFORMES,Cracidae,"Chachalacas, Curassows and Guans",Mitu mitu,Crax mitu,80
NEOGNATHAE,GALLIFORMES,Cracidae,"Chachalacas, Curassows and Guans",Mitu tuberosum,Crax mitu,82
NEOGNATHAE,GALLIFORMES,Cracidae,"Chachalacas, Curassows and Guans",Nothocrax urumutum,Crax mitu,92
NEOGNATHAE,GALLIFORMES,Cracidae,"Chachalacas, Curassows and Guans",Ortalis canicollis,Crax mitu,78
NEOGNATHAE,GALLIFORMES,Cracidae,"Chachalacas, Curassows and Guans",Penelope jacquacu,Crax mitu,80
NEOGNATHAE,GALLIFORMES,Cracidae,"Chachalacas, Curassows and Guans",Penelope obscura,Crax mitu,78
NEOGNATHAE,GALLIFORMES,Cracidae,"Chachalacas, Curassows and Guans",Penelope purpurascens,Crax mitu,78
NEOGNATHAE,GALLIFORMES,Cracidae,"Chachalacas, Curassows and Guans",Penelope superciliaris,Crax mitu,76
NEOGNATHAE,GALLIFORMES,Cracidae,"Chachalacas, Curassows and Guans",Pipile cumanensis cumanensis,Crax mitu,84
NEOGNATHAE,GALLIFORMES,Cracidae,"Chachalacas, Curassows and Guans",Pipile cumanensis grayi,Crax mitu,76
NEOGNATHAE,GALLIFORMES,Cracidae,"Chachalacas, Curassows and Guans",Pipile jacutinga,Crax mitu,74
NEOGNATHAE,GALLIFORMES,Megapodiidae,Megapodes,Aepypodius arfakianus,Crax mitu,80
NEOGNATHAE,GALLIFORMES,Megapodiidae,Megapodes,Aepypodius bruijnii,Crax mitu,80
NEOGNATHAE,GALLIFORMES,Megapodiidae,Megapodes,Macrocephalon maleo,Crax mitu,90
NEOGNATHAE,GALLIFORMES,Numididae,Guineafowl,Acryllium vulturinum,Crax mitu,74-76
NEOGNATHAE,GALLIFORMES,Numididae,Guineafowl,Guttera plumifera,Crax mitu,76
NEOGNATHAE,GALLIFORMES,Numididae,Guineafowl,Guttera pucherani edouardi,Guttera edouardi,76
NEOGNATHAE,GALLIFORMES,Numididae,Guineafowl,Numida meleagris,Guttera edouardi,78
NEOGNATHAE,GALLIFORMES,Odontophoridae,New World Quail,Callipepla californica,Lophortyx californica,84
NEOGNATHAE,GALLIFORMES,Odontophoridae,New World Quail,Callipepla gambelii,Lophortyx gambelii,80
NEOGNATHAE,GALLIFORMES,Odontophoridae,New World Quail,Callipepla squamata,Lophortyx gambelii,80
NEOGNATHAE,GALLIFORMES,Odontophoridae,New World Quail,Colinus virginianus,Lophortyx gambelii,82
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Afropavo congensis,Lophortyx gambelii,76
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Alectoris graeca,Lophortyx gambelii,78
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Alectornis rufa,Lophortyx gambelii,78
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Arborophila javanica,Lophortyx gambelii,78
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Bambusicola fytchii,Lophortyx gambelii,78
