Higher taxonomic group,Order,Family,Genus,species,female2n,male2n,"Predicted ploidy (1,2,3,4)",Sexual.system,sex.chromosome.system,"notes, comments"
Mammalia,Carnivora,Procyonidae,Potos ,flavus,38,38,,gonochorous,XY,
Mammalia,Carnivora,Procyonidae,Procyon ,lotor,38,38,,gonochorous,XY,
Mammalia,Carnivora,Ursidae,Helarctos ,malayanus,74,74,,gonochorous,XY,
Mammalia,Carnivora,Ursidae,Selenarctos,thibetanus,74,74,,gonochorous,XY,
Mammalia,Carnivora,Ursidae,Ursus ,americanus,74,74,,gonochorous,XY,
Mammalia,Carnivora,Viverridae,Actictis ,binturong,42,42,,gonochorous,XY,
Mammalia,Carnivora,Viverridae,Arctogalidia ,trivirgata stigmatica,40,40,,gonochorous,XY,
Mammalia,Carnivora,Viverridae,Atilax,paludinosus,36,36,,gonochorous,XY,
Mammalia,Carnivora,Viverridae,Bdeogale,sp.,36,36,,gonochorous,XY,
Mammalia,Carnivora,Viverridae,Fossa,fossa,42,42,,gonochorous,XY,
Mammalia,Carnivora,Viverridae,Genetta ,genetta neumanni,52,52,,gonochorous,XY,
Mammalia,Carnivora,Viverridae,Paradoxurus,hermaphroditicus,42,42,,gonochorous,XY,
Mammalia,Carnivora,Viverridae,Prionodon,linsang,34,34,,gonochorous,XY,
Mammalia,Carnivora,Viverridae,Suricata,suricatta,36,36,,gonochorous,XY,
Mammalia,Carnivora,Viverridae,Viverricula,indica,36,36,,gonochorous,XY,
Mammalia,Cetacea,Balaenopteridae,Balaenoptera,acutorostrata,44,44,,gonochorous,XY,
Mammalia,Cetacea,Balaenopteridae,Balaenoptera,borealis,44,44,,gonochorous,XY,
Mammalia,Cetacea,Balaenopteridae,Balaenoptera,physalus,44,44,,gonochorous,XY,
Mammalia,Cetacea,Delphinidae,Delphinus ,bairdii,44,44,,gonochorous,XY,
Mammalia,Cetacea,Delphinidae,Orcinus,orca,44,44,,gonochorous,XY,
Mammalia,Cetacea,Delphinidae,Tursiops,truncatus,44,44,,gonochorous,XY,
Mammalia,Cetacea,Phocoenidae,Phocoena,phocoena,44,44,,gonochorous,XY,
Mammalia,Cetacea,Physeteridae,Kogia,breviceps,42,42,,gonochorous,XY,
Mammalia,Cetacea,Physeteridae,Physeter,catodon,42,42,,gonochorous,XY,
Mammalia,Chiroptera,Desmodontidae,Desmodus,rotundus murius,28,28,,gonochorous,XY,
Mammalia,Chiroptera,Emballonuridae,Taphozous,longimanus,42,42,,gonochorous,XY,
Mammalia,Chiroptera,Molossidae,Tadarida,brasiliensis,48,48,,gonochorous,XY,
Mammalia,Chiroptera,Mormoopidae,Pteronotus,parnelii,38,38,,gonochorous,XY,
Mammalia,Chiroptera,Natalidae,Natalus,tumidirostris,36,36,,gonochorous,XY,
Mammalia,Chiroptera,Noctilionidae,Noctilio ,albiventris,34,34,,gonochorous,XY,
Mammalia,Chiroptera,Phyllostomatidae,Carollia,castanea,20,20,,gonochorous,XY,
Mammalia,Chiroptera,Phyllostomatidae,Chiroderma,villosum,26,26,,gonochorous,XY,
Mammalia,Chiroptera,Phyllostomatidae,Glossophaga,soricina,32,32,,gonochorous,XY,
Mammalia,Chiroptera,Phyllostomatidae,Mesophylla,macconelli,22,22,,gonochorous,XY,
Mammalia,Chiroptera,Phyllostomatidae,Mimon,crenulatum,32,32,,gonochorous,XY,
Mammalia,Chiroptera,Phyllostomatidae,Rhinophyla,pumilio,36,36,,gonochorous,XY,
Mammalia,Chiroptera,Phyllostomatidae,Sturnina,lilium,30,30,,gonochorous,XY,
Mammalia,Chiroptera,Phyllostomatidae,Uroderma,bilobatum,44,44,,gonochorous,XY,
Mammalia,Chiroptera,Phyllostomidae,Artibeus,jamaicensis,30,31,,gonochorous,complex XY,XY1Y2
Mammalia,Chiroptera,Phyllostomidae,Artibeus,lituratus,30,31,,gonochorous,complex XY,XY1Y2
Mammalia,Chiroptera,Phyllostomidae,Artibeus,toltecus,30,31,,gonochorous,complex XY,XY1Y2
Mammalia,Chiroptera,Phyllostomidae,Carolia,perspicillata,20,21,,gonochorous,complex XY,XY1Y2
Mammalia,Chiroptera,Phyllostomidae,Carollia,subrufa,20,21,,gonochorous,complex XY,XY1Y2
Mammalia,Chiroptera,Phyllostomidae,Choeroniscus,godmani,20,19,,gonochorous,complex XY,X1X2Y
Mammalia,Chiroptera,Phyllostomidae,Mesophylla,macconnelli,22,21,,gonochorous,complex XY,X1X2Y
Mammalia,Chiroptera,Phyllostomidae,Uriderma ,magnirostrum,36,36,,gonochorous,XY,
Mammalia,Chiroptera,Pteropodidae,Pteropus ,giganteus,38,38,,gonochorous,XY,
Mammalia,Chiroptera,Pteropodidae,Rousettus ,leschenaulti,36,36,,gonochorous,XY,
Mammalia,Chiroptera,Vespertilionidae,Antrozous,pallidus,46,46,,gonochorous,XY,
Mammalia,Chiroptera,Vespertilionidae,Eptesicus,fuscus,50,50,,gonochorous,XY,
Mammalia,Chiroptera,Vespertilionidae,Lasiurus,seminolus,28,28,,gonochorous,XY,
Mammalia,Chiroptera,Vespertilionidae,Lasiurus ,intermedius,26,26,,gonochorous,XY,
Mammalia,Chiroptera,Vespertilionidae,Myotis,grisescens,44,44,,gonochorous,XY,
Mammalia,Chiroptera,Vespertilionidae,Myotis,macrodactylus,44,44,,gonochorous,XY,
Mammalia,Chiroptera,Vespertilionidae,Myotis,velifer,44,44,,gonochorous,XY,
Mammalia,Chiroptera,Vespertilionidae,Nycticeius,humeralis,46,46,,gonochorous,XY,
Mammalia,Chiroptera,Vespertilionidae,Pipistrellus ,affinis,36,36,,gonochorous,XY,
Mammalia,Chiroptera,Vespertilionidae,Pispitrellus,subflavus,30,30,,gonochorous,XY,
Mammalia,Chiroptera,Vespertilionidae,Pispitrellus ,mimus,38,38,,gonochorous,XY,
Mammalia,Dermoptera,Cynocephalidae,Cynocephalus ,variegatus,56,56,,gonochorous,XY,
Mammalia,Diprotodontia,Macropodidae,Lagorchestes,conspicillatus,16,15,,gonochorous,complex XY,X1X2Y
Mammalia,Diprotodontia,Macropodidae,Wallabia,bicolor,10,11,,gonochorous,complex XY,XY1Y2
Mammalia,Diprotodontia,Potoroidae,Potorous,tridactylus,12,13,,gonochorous,complex XY,XY1Y2
Mammalia,Hyracoidea,Procaviidae,Procavia,capensis,54,54,,gonochorous,XY,
Mammalia,Insectivora,Erinaceidae,Erinaceus,europaeus,48,48,,gonochorous,XY,
Mammalia,Insectivora,Soricidae,Blarina,brevicauda,50,50,,gonochorous,XY,
Mammalia,Insectivora,Soricidae,Cryptotis,parva,52,52,,gonochorous,XY,
Mammalia,Insectivora,Soricidae,Motiosorex ,crawfordi,68,68,,gonochorous,XY,
Mammalia,Insectivora,Soricidae,Neomys,fodiens,52,52,,gonochorous,XY,
Mammalia,Insectivora,Soricidae,Sorex,caecutiens,42,42,,gonochorous,XY,
Mammalia,Insectivora,Soricidae,Suncus,murinus,40,40,,gonochorous,XY,
Mammalia,Insectivora,Talpidae,Talpa,europaea,34,34,,gonochorous,XY,
Mammalia,Insectivora,Tenrecidae,Microgale,dobsoni,30,30,,gonochorous,XY,
Mammalia,Insectivora,Tenrecidae,Tenrec,eucadatus,38,38,,gonochorous,XY,
Mammalia,Lagomorpha,Leporidae,Lepus,americanus,48,48,,gonochorous,XY,
Mammalia,Lagomorpha,Leporidae,Lepus ,alleni alleni,48,48,,gonochorous,XY,
Mammalia,Lagomorpha,Leporidae,Lepus ,californicus eremicus,48,48,,gonochorous,XY,
Mammalia,Lagomorpha,Leporidae,Lepus ,townsendii,48,48,,gonochorous,XY,
Mammalia,Lagomorpha,Leporidae,Oryctolagus,cuniculus,44,44,,gonochorous,XY,
Mammalia,Lagomorpha,Leporidae,Romerolagus ,diazi,48,48,,gonochorous,XY,
Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,42,42,,gonochorous,XY,
Mammalia,Lagomorpha,Ochotonidae,Ochotona,rufescene rufescens,60,60,,gonochorous,XY,
Mammalia,Lagomorpha,Ochotonidae,Ochotona ,hyperborea,40,40,,gonochorous,XY,
Mammalia,Marsupialia,Dasyuroidea,Dasyurops,maculatus,14,14,,gonochorous,XY,
Mammalia,Marsupialia,Dasyuroidea,Smithopis,crassicaudata,14,14,,gonochorous,XY,
Mammalia,Marsupialia,Didelphidae,Caluromys,derbianus,14,14,,gonochorous,XY ,
Mammalia,Marsupialia,Didelphidae,Chironectes ,panamensis,22,22,,gonochorous,XY,
Mammalia,Marsupialia,Didelphidae,Didelphys,albiventris,22,22,,gonochorous,XY,
Mammalia,Marsupialia,Didelphidae,Didelphys,marsupialis,22,22,,gonochorous,XY,
Mammalia,Marsupialia,Didelphidae,Lutreolina,crassicaudata,22,22,,gonochorous,XY,
Mammalia,Marsupialia,Didelphidae,Marmosa,alstoni,14,14,,gonochorous,XY,
Mammalia,Marsupialia,Didelphidae,Marmosa,murina,14,14,,gonochorous,XY,
Mammalia,Marsupialia,Didelphidae,Marmosa,pusilla,14,14,,gonochorous,XY,
