Higher taxonomic group,Order,Family,Genus,species,female2n,male2n,"Predicted ploidy (1,2,3,4)",Sexual.system,sex.chromosome.system,"notes, comments"
Mammalia,Rodentia,Arvicolidae,Microtus, longicaudus,56,56,,gonochorous,XY,
Mammalia,Rodentia,Arvicolidae,Microtus,agrestis,50,50,,gonochorous,XY,
Mammalia,Rodentia,Arvicolidae,Microtus,arvalis,46,46,,gonochorous,XY,
Mammalia,Rodentia,Arvicolidae,Microtus,oeconomus,30,30,,gonochorous,XY,
Mammalia,Rodentia,Arvicolidae,Pitymys,mariae,62,62,,gonochorous,XY,
Mammalia,Rodentia,Arvicolidae,Pitymys,thomasi,44,44,,gonochorous,XY,
Mammalia,Rodentia,Capromyidae,Capromys ,pilorodes,40,40,,gonochorous,XY,
Mammalia,Rodentia,Castoroidea,Castor,canadiensis,40,40,,gonochorous,XY,
Mammalia,Rodentia,Caviidae,Cavia ,porcellus,64,64,,gonochorous,XY,
Mammalia,Rodentia,Caviidae,Dolichotis,patagonum,64,64,,gonochorous,XY,
Mammalia,Rodentia,Chinchillidae,Chinchilla,laniger,64,64,,gonochorous,XY,
Mammalia,Rodentia,Chinchillidae,Lagostomus,maximus,56,56,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Akodon,aerosus,40,40,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Akodon,sp.-1,,,,gonochorous,complex XY,"XX, XY females and XY males"
Mammalia,Rodentia,Cricetidae,Akodon,sp.-2,,,,gonochorous,complex XY,"XX, XY females and XY males"
Mammalia,Rodentia,Cricetidae,Akodon,urichi venezeulensis,18,18,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Akodon,xanthorhinus,52,52,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Akodon ,orophilus,26,26,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Anotomys,leander,92,92,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Aschizomys,imaizumi,56,56,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Aschizomys,niigatae,56,56,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Baiomys ,taylori subater,48,48,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Calomyscus ,bailwardi,32,32,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Clethrionomys ,gapperi,56,56,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Cricetulus ,barabensis,20,20,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Cricetulus ,cricetus,22,22,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Cricetulus ,griseus,22,22,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Deltamys,kempi,38,37,,gonochorous,complex XY,X1X2Y
Mammalia,Rodentia,Cricetidae,Deltamys,sp,40,40,,gonochorous,XY,XY
Mammalia,Rodentia,Cricetidae,Dicrostonyx,torquatus,46,46,,gonochorous,complex XY,"XX,X*X,X*Y females and XY males"
Mammalia,Rodentia,Cricetidae,Ellobius,fuscocapillus,,,,gonochorous,XY,XY/SRY
Mammalia,Rodentia,Cricetidae,Ellobius,lutescens,17,17,,gonochorous,XO,XO females and males/no SRY
Mammalia,Rodentia,Cricetidae,Ellobius,tancrei,,,,gonochorous,complex XY,XX females and males/no SRY
Mammalia,Rodentia,Cricetidae,Eothenomys ,kageus,56,56,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Eothenomys ,smithi,56,56,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Lagurus,curtatus,54,54,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Lagurus,lagurus,54,54,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Meriones ,hurrianae,40,40,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Mesocritus,auratus,44,44,,gonochorous,XY,
Mammalia,Rodentia,Cricetidae,Mesocritus,brandti,42,42,,gonochorous,XY,
