Higher taxonomic group,Order,Family,Genus,species,female2n,male2n,"Predicted ploidy (1,2,3,4)",Sexual.system,sex.chromosome.system
Reptilia,Chelonia,Pelomedusidae,Podocnemis,sextuberculata,28,28,,gonochorous,
Reptilia,Chelonia,Pelomedusidae,Podocnemis,unifilis,28,28,,gonochorous,
Reptilia,Chelonia,Testudinidae,Aldabrachelys,dussumieri,52,52,,gonochorous,
Reptilia,Chelonia,Testudinidae,Eurotestudo,hermanni,52,52,,gonochorous,
Reptilia,Chelonia,Testudinidae,Geochelone,elephantopus,52,52,,gonochorous,
Reptilia,Chelonia,Testudinidae,Gopherus,agassizii,52,52,,gonochorous,
Reptilia,Chelonia,Testudinidae,Gopherus,polyphemus,54,54,,gonochorous,
Reptilia,Chelonia,Testudinidae,Malacocherus,tornieri,52,52,,gonochorous,
Reptilia,Chelonia,Testudinidae,Testudo,graeca,52,52,,gonochorous,
Reptilia,Chelonia,Trionychidae,Apalone,mutica-1,66,66,,gonochorous,homomorphic
Reptilia,Chelonia,Trionychidae,Apalone,mutica-2,66,66,,gonochorous,homomorphic
Reptilia,Chelonia,Trionychidae,Apalone,spinifera,66,66,,gonochorous,homomorphic
Reptilia,Chelonia,Trionychidae,Pelodiscus,sinensis,66,66,,gonochorous,ZW
Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,32,32,,gonochorous,
Reptilia,Crocodylia,Alligatoridae,Alligator,sinensis,32,32,,gonochorous,
Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus,42,42,,gonochorous,
Reptilia,Crocodylia,Alligatoridae,Caiman,latirostris,42,42,,gonochorous,
Reptilia,Crocodylia,Alligatoridae,Paleosuchus,trigonatus,42,42,,gonochorous,
Reptilia,Crocodylia,Crocodylidae,Crocodylus,johnstoni,32,32,,gonochorous,
Reptilia,Crocodylia,Crocodylidae,Crocodylus,moreletii,32,32,,gonochorous,
Reptilia,Crocodylia,Crocodylidae,Crocodylus,niloticus,32,32,,gonochorous,
Reptilia,Crocodylia,Crocodylidae,Crocodylus,palustris,34,34,,gonochorous,
Reptilia,Crocodylia,Crocodylidae,Crocodylus,porosus,34,34,,gonochorous,
Reptilia,Crocodylia,Crocodylidae,Crocodylus,siamensis,34,34,,gonochorous,
Reptilia,Crocodylia,Gavialidae,Gavialis,gangeticus,32,32,,gonochorous,
Reptilia,Sphenodontia,Sphenodontidae,Sphenodon, guntheri,36,,,gonochorous,
Reptilia,Sphenodontia,Sphenodontidae,Sphenodon, punctatus,36,,,gonochorous,
Reptilia,Squamata,Agamidae,Agama,agama,44,44,,gonochorous,
Reptilia,Squamata,Agamidae,Agama,caucasia,,,,gonochorous,
Reptilia,Squamata,Agamidae,Agama,impalearis,,,,gonochorous,
Reptilia,Squamata,Agamidae,Agama,stellio,36,36,,gonochorous,
Reptilia,Squamata,Agamidae,Amphibolurus,muricatus,32,32,,gonochorous,
Reptilia,Squamata,Agamidae,Amphibolurus,nobbi,32,32,,gonochorous,
Reptilia,Squamata,Agamidae,Amphibolurus,norrisi,,,,gonochorous,
Reptilia,Squamata,Agamidae,Calotes,versicolor,34,34,,gonochorous,
Reptilia,Squamata,Agamidae,Chlamydosaurus,kingii,32,32,,gonochorous,
Reptilia,Squamata,Agamidae,Ctenophorus,decresii,32,32,,gonochorous,
Reptilia,Squamata,Agamidae,Ctenophorus,fordi,32,32,,gonochorous,
Reptilia,Squamata,Agamidae,Ctenophorus,ornatus,32,32,,gonochorous,
Reptilia,Squamata,Agamidae,Ctenophorus,pictus,32,32,,gonochorous,
Reptilia,Squamata,Agamidae,Diporiphora,albilabris,,,,gonochorous,
Reptilia,Squamata,Agamidae,Diporiphora,bilineata,32,32,,gonochorous,
Reptilia,Squamata,Agamidae,Hypsilurus,spinipes,36,36,,gonochorous,
Reptilia,Squamata,Agamidae,Leiolepis,boehmei,,,,apomictic,
Reptilia,Squamata,Agamidae,Leiolepis,guentherpetersi,,,,apomictic,
Reptilia,Squamata,Agamidae,Leiolepis,ngovantrii,,,,apomictic,
Reptilia,Squamata,Agamidae,Leiolepis,triploida,,,3,apomictic,
Reptilia,Squamata,Agamidae,Lophognathus,burnsi,,,,gonochorous,
Reptilia,Squamata,Agamidae,Lophognathus,gilberti,32,32,,gonochorous,
Reptilia,Squamata,Agamidae,Lophognathus,temporalis,,,,gonochorous,
Reptilia,Squamata,Agamidae,Phrynocephalus,vlangalii,48,48,,gonochorous,ZW
Reptilia,Squamata,Agamidae,Physignathus,lesueurii,36,36,,gonochorous,
Reptilia,Squamata,Agamidae,Pogona,barbata,32,32,,gonochorous,homomorphic
Reptilia,Squamata,Agamidae,Pogona,minor,,,,gonochorous,homomorphic
Reptilia,Squamata,Agamidae,Pogona,vitticeps,32,32,,gonochorous,ZW
Reptilia,Squamata,Agamidae,Tympanocryptis,diemensis,32,32,,gonochorous,
Reptilia,Squamata,Agamidae,Tympanocryptis,tetraporophora,32,32,,gonochorous,
Reptilia,Squamata,Anguidae,Gerrhonotus,multicarinatus,48,48,,gonochorous,
Reptilia,Squamata,Boidae,Acrantophis,dumerilii,34,34,,gonochorous,ZW
Reptilia,Squamata,Boidae,Boa,constrictor amarili,36,36,,gonochorous,ZW
Reptilia,Squamata,Boidae,Liasis,olivaceus,36,36,,gonochorous,ZW
Reptilia,Squamata,Boidae,Morelia,amethistina,36,36,,gonochorous,ZW
Reptilia,Squamata,Boidae,Morelia,boeleni,36,36,,gonochorous,ZW
Reptilia,Squamata,Boidae,Sanzinia,madagascariensis,34,34,,gonochorous,ZW
Reptilia,Squamata,Chamaeleonidae,Rhampholeon,boulengeri,,,,apomictic,
Reptilia,Squamata,Chamaeleontidae,Chamaeleo,chamaeleon,24,24,,gonochorous,
Reptilia,Squamata,Chamaeleontidae,Chamaeleo,lateralis,24,24,,gonochorous,homomorphic
Reptilia,Squamata,Chamaeleontidae,Chamaeleo,pardalis,22,22,,gonochorous,
Reptilia,Squamata,Colubridae,Ahaetulla,nasuta,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Amphiesma,pryeri,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Amphiesma,stolatum,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Amphiesma,vibakari,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Argyrogena,fasciolata,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Bogertophis,subocularis,40,40,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Boiga,forsteni,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Boiga,trigonata,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Cerberus,rhynchops,38,38,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Chironius,bicarinatus,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Chironius,quadricarinatus,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Chrysopelea,ornata,40,40,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Clelia,clelia,50,50,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Clelia,clelia plumbea,50,50,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Dendrelaphis,punctulata,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Dinodon,semicarinatum,34,34,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Drymarchon,corais corais,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Drymarchon,couperi,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Dryophis,nasutus,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Elaphe,climacophora,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Elaphe,conspicillata,34,34,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Elaphe,guttata,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Elaphe,longissima,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Elaphe,obsoleta,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Elaphe,obsoleta lindhiemeri,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Elaphe,quadrivirgata,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Elaphe,radiata,30,30,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Geophis,omiltermanus,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Gerarda,prevostiana,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Hydromorphus,concolor,46,46,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Liophis,almadensis,28,28,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Liophis,miliaris,28,28,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Lycodon,aulicus,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Macropisthodon,rudis carinatus,46,46,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Mastigodryas,bifossatus bifossatus,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Natrix,maura,34,34,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Natrix,natrix,34,34,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Natrix,tesellata,34,34,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Natrix,tesellata tessellata,34,34,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Oxyrhopus,petola,46,46,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Philodryas,aestivus,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Philodryas,chamissonis,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Philodryas,olfersii,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Philodryas,patagoniensis,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Pseudoboa,nigra,50,50,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Ptyas,mucosus,34,34,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Rhabdophis,tigrinus tigrinus,40,40,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Rhachidelus,brazilii,50,50,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Sinonatrix,annularis,42,42,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Sinonatrix,percarinata,42,42,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Spilotes,pullatus,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Storeria,dekayi,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Thamnodynastes,hypoconia,32,32,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Thamnodynastes,strigatus,32,32,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Thamnophis,marcianus,36,36,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Tomodon,dorsatus,32,32,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Tropidodryas,serra,28,28,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Tropidonophis,mairii,42,42,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Waglerophis,merremii,30,30,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Xenochrophis,piscator,40,40,,gonochorous,ZW
Reptilia,Squamata,Colubridae,Xenodon,neuwiedii,30,30,,gonochorous,ZW
Reptilia,Squamata,Corytophanidae,Basiliscus,plumifrons,,,,gonochorous,
Reptilia,Squamata,Dibamidae,Dibamus,novaeguineae,36,36,,gonochorous,XY
Reptilia,Squamata,Diplodactylidae,Rhacodactylus,auriculatus,38,38,,gonochorous,
Reptilia,Squamata,Diplodactylidae,Rhacodactylus,chahoua,,,,gonochorous,
Reptilia,Squamata,Diplodactylidae,Rhacodactylus,ciliatus,,,,gonochorous,
Reptilia,Squamata,Diplodactylidae,Rhacodactylus,leachianus,38,38,,gonochorous,
Reptilia,Squamata,Diplodactylidae,Rhacodactylus,sarasinorum,38,38,,gonochorous,
Reptilia,Squamata,Elapidae,Acanthophis,antarcticus,36,36,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Acanthophis,praelongus,36,36,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Acanthophis,pyrrhus,36,36,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Aipysurus,fuscus,32,32,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Aipysurus,laevis,32,32,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Austrelaps,superbus,34,34,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Bungarus,caeruleus,44,44,,gonochorous,complex ZW
Reptilia,Squamata,Elapidae,Bungarus,fasciatus,38,38,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Bungarus,sindanus,36,36,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Cacophis,squamulosus,36,36,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Demansia,atra,42,42,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Demansia,olivacea,42,42,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Demansia,papuensis,42,42,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Demansia,psammophis,42,42,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Demansia,torquata,42,42,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Dendroaspis,polylepis,36,36,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Denisonia,devisii,34,34,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Denisonia,maculata,34,34,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Disteira,major,32,32,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Drysdalia,coronoides,34,34,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Drysdalia,mastersii,34,34,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Drysdalia,rhodogaster,34,34,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Echiophis,curta,36,36,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Elapognathus,minor,36,36,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Emydocephalus,annulatus,32,32,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Enhydrina,schistosa,32,32,,gonochorous,complex ZW
Reptilia,Squamata,Elapidae,Furina,diadema,34,34,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Hemiaspis,signata,40,40,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Hoplocephalus,bitorquatus,27,28,,gonochorous,complex ZW
Reptilia,Squamata,Elapidae,Hydrophis,fasciatus,32,32,,gonochorous,complex ZW
Reptilia,Squamata,Elapidae,Hydrophis,ornatus,32,32,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Hydrophis,spiralis,32,32,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Kerilia,jerdonii,32,32,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Laticauda,colubrina,34,34,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Laticauda,laticaudata,40,40,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Laticauda,semifasciata,38,38,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Microcephalophis,cantoris,35,,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Microcephalophis,gracilis,34,34,,gonochorous,complex ZW
Reptilia,Squamata,Elapidae,Micrurus,browni,26,26,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Micrurus,diastema,30,30,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Micrurus,elegans,30,30,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Micrurus,fulvius,32,32,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Micrurus,hippocrepis,30,30,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Micrurus,lemniscatus carvalhoi,42,42,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Micrurus,nigrocinctus mosquitensis,30,30,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Micrurus,nigrocinctus nigrocinctus,26,26,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Micrurus,surinamensis,,,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Naja,kaouthia,38,38,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Naja,melanoleuca,38,38,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Naja,naja naja,38,38,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Naja,nigricollis,38,38,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Naja,oxiana,38,38,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Notechis,ater,34,34,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Notechis,scutatus,34,34,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Oxyuranus,scutellatus,36,36,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Pelamis,platura,38,38,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Pseudechis,australis,38,38,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Pseudechis,butleri,36,36,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Pseudechis,guttatus,36,36,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Pseudechis,porphyriacus,36,36,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Pseudonaja,affinis,34,34,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Pseudonaja,nuchalis,34,34,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Pseudonaja,textilis,38,38,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Rhinoplocephalus,boschmai,36,36,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Rhinoplocephalus,nigrescens,40,40,,gonochorous,complex ZW
Reptilia,Squamata,Elapidae,Rhinoplocephalus,nigrostriatus,36,36,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Simoselaps,bertholdi,38,38,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Simoselaps,warro,38,38,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Suta,dwyeri,30,30,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Suta,flagellum,30,30,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Suta,gouldii,30,30,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Suta,monachus,30,30,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Suta,nigriceps,30,30,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Suta,punctata,30,30,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Suta,suta,30,30,,gonochorous,ZW
Reptilia,Squamata,Elapidae,Tropidechis,carinatus,34,34,,gonochorous,ZW
Reptilia,Squamata,Eublepharidae,Coleonyx,brevis,,,,gonochorous,homomorphic
Reptilia,Squamata,Eublepharidae,Coleonyx,elegans,,,,gonochorous,
Reptilia,Squamata,Eublepharidae,Coleonyx,mitratus,,,,gonochorous,
Reptilia,Squamata,Eublepharidae,Coleonyx,variegatus,32,32,,gonochorous,homomorphic
Reptilia,Squamata,Eublepharidae,Eublepharis,macularius,38,38,,gonochorous,
Reptilia,Squamata,Eublepharidae,Hemitheconyx,caudicinctus,,,,gonochorous,
Reptilia,Squamata,Gekkonidae,Christinus,marmoratus,32,32,,gonochorous,ZW
Reptilia,Squamata,Gekkonidae,Gehyra,australis,40,40,,gonochorous,ZW
Reptilia,Squamata,Gekkonidae,Gehyra,nana,44,44,,gonochorous,
Reptilia,Squamata,Gekkonidae,Gehyra,purpurascens,40,40,,gonochorous,
Reptilia,Squamata,Gekkonidae,Gehyra,variegata,,,,apomictic,
Reptilia,Squamata,Gekkonidae,Gekko,gekko,38,38,,gonochorous,XY
Reptilia,Squamata,Gekkonidae,Gekko,hokouensis,38,38,,gonochorous,ZW
Reptilia,Squamata,Gekkonidae,Gekko,japonicus,38,38,,gonochorous,XY
Reptilia,Squamata,Gekkonidae,Gonatodes,ceciliae,22,22,,gonochorous,XY
Reptilia,Squamata,Gekkonidae,Gonatodes,vittatus,32,32,,gonochorous,
Reptilia,Squamata,Gekkonidae,Hemidactylus,garnotii,63|65,,3,apomictic,
Reptilia,Squamata,Gekkonidae,Hemidactylus,karenorum,,,,apomictic,
Reptilia,Squamata,Gekkonidae,Hemidactylus,mabouia,42,42,,gonochorous,
Reptilia,Squamata,Gekkonidae,Hemidactylus,sp.,38,,2,apomictic,
Reptilia,Squamata,Gekkonidae,Hemidactylus,stejnegeri,56,,3,apomictic,
Reptilia,Squamata,Gekkonidae,Hemidactylus,vietnamensis,60,,3,apomictic,ZW
Reptilia,Squamata,Gekkonidae,Heteronotia,binoei-1,63,,3,apomictic,ZW
Reptilia,Squamata,Gekkonidae,Heteronotia,binoei-2,42,42,2,gonochorous,ZW
Reptilia,Squamata,Gekkonidae,Lepidodactylus,lugubris,44,,2,apomictic,ZW
Reptilia,Squamata,Gekkonidae,Nactus,arnouxii-1,35,,2,apomictic,
