Higher taxonomic group,Order,Family,Genus,species,female2n,male2n,"Predicted ploidy (1,2,3,4)",Sexual.system,sex.chromosome.system
Reptilia,Chelonia,Bataguridae,Mauremys,annamensis,,,,gonochorous,
Reptilia,Chelonia,Bataguridae,Mauremys,japonica,52,52,,gonochorous,
Reptilia,Chelonia,Bataguridae,Mauremys,mutica,52,52,,gonochorous,
Reptilia,Chelonia,Bataguridae,Mauremys,nigricans,52,52,,gonochorous,
Reptilia,Chelonia,Bataguridae,Mauremys,reevesii,52,52,,gonochorous,
Reptilia,Chelonia,Bataguridae,Melanochelys,trijuga,52,52,,gonochorous,
Reptilia,Chelonia,Bataguridae,Pangshura,smithii,52,52,,gonochorous,ZW
Reptilia,Chelonia,Bataguridae,Rhinoclemmys,areolata,52,52,,gonochorous,
Reptilia,Chelonia,Bataguridae,Rhinoclemmys,pulcherrima,52,52,,gonochorous,
Reptilia,Chelonia,Bataguridae,Siebenrockiella,crassicollis,50,50,,gonochorous,XY
Reptilia,Chelonia,Carettochelyidae,Carettochelys,insculpta,68,68,,gonochorous,
Reptilia,Chelonia,Chelidae,Acanthochelys,radiolata,,,,gonochorous,XY
Reptilia,Chelonia,Chelidae,Chelodina,longicollis,54,54,,gonochorous,XY
Reptilia,Chelonia,Chelidae,Elseya,novaeguineae,,,,gonochorous,
Reptilia,Chelonia,Chelidae,Elusor,macrurus,,,,gonochorous,
Reptilia,Chelonia,Chelidae,Emydura,macquarii,50,50,,gonochorous,XY
Reptilia,Chelonia,Chelidae,Emydura,macquarii spp,50,50,,gonochorous,homomorphic
Reptilia,Chelonia,Chelidae,Emydura,subglobosa,,,,gonochorous,
Reptilia,Chelonia,Chelidae,Mesoclemmys,gibba,60,60,,gonochorous,homomorphic
Reptilia,Chelonia,Chelidae,Phrynops,geoffroanus,58,58,,gonochorous,homomorphic
Reptilia,Chelonia,Chelidae,Phrynops,hilarii,58,58,,gonochorous,
Reptilia,Chelonia,Cheloniidae,Caretta,caretta,56,56,,gonochorous,
Reptilia,Chelonia,Cheloniidae,Chelonia,mydas,56,56,,gonochorous,
Reptilia,Chelonia,Cheloniidae,Eretmochelys,imbricata,56,56,,gonochorous,
Reptilia,Chelonia,Cheloniidae,Lepidochelys,kempii,56,56,,gonochorous,
Reptilia,Chelonia,Cheloniidae,Lepidochelys,olivacea,56,56,,gonochorous,
Reptilia,Chelonia,Cheloniidae,Natator,depressus,56,56,,gonochorous,
Reptilia,Chelonia,Chelydridae,Chelydra,serpentina,52,52,,gonochorous,
Reptilia,Chelonia,Chelydridae,Macrochelys,temminckii,52,52,,gonochorous,
Reptilia,Chelonia,Dermatemydidae,Dermatemys,mawii,56,56,,gonochorous,
Reptilia,Chelonia,Dermochelyidae,Dermochelys,coriacea,56,56,,gonochorous,
Reptilia,Chelonia,Emydidae,Actinemys,marmorata,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Chrysemys,picta,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Clemmys,guttata,48,48,,gonochorous,
Reptilia,Chelonia,Emydidae,Deirochelys,reticularia,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Emydoidea,blandingii,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Emys,orbicularis,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Glyptemys,insculpta,50,50,,gonochorous,homomorphic
Reptilia,Chelonia,Emydidae,Graptemys,barbouri,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Graptemys,geographica,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Graptemys,nigrinoda,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Graptemys,ouachitensis,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Graptemys,pseudogeographica,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Graptemys,pulchra,52,52,,gonochorous,
Reptilia,Chelonia,Emydidae,Graptemys,versa,52,52,,gonochorous,
Reptilia,Chelonia,Emydidae,Heosemys,grandis,52,52,,gonochorous,
Reptilia,Chelonia,Emydidae,Malaclemys,terrapin,52,52,,gonochorous,
Reptilia,Chelonia,Emydidae,Pseudemys,concinna,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Pseudemys,floridana,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Pseudemys,nelsoni,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Pseudemys,peninsularis,,,,gonochorous,
Reptilia,Chelonia,Emydidae,Pseudemys,texana,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Terrapene,carolina,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Terrapene,coahuila,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Terrapene,ornata,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Trachemys,decorata,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Trachemys,scripta,50,50,,gonochorous,
Reptilia,Chelonia,Emydidae,Trachemys,venusta,,,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Claudius,angustatus,54,54,,gonochorous,homomorphic
Reptilia,Chelonia,Kinosternidae,Kinosternon,acutum,,,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Kinosternon,alamosae,,,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Kinosternon,arizonense,56,56,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Kinosternon,baurii,56,56,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Kinosternon,creaseri,,,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Kinosternon,flavescens,56,56,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Kinosternon,hirtipes,56,56,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Kinosternon,leucostomum,56,56,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Kinosternon,scorpioides,56,56,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Kinosternon,scorpioides spp,56,56,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Kinosternon,sonoriense,,,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Kinosternon,subrubrum,56,56,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Staurotypus,salvinii,54,54,,gonochorous,XY
Reptilia,Chelonia,Kinosternidae,Staurotypus,triporcatus,54,54,,gonochorous,XY
Reptilia,Chelonia,Kinosternidae,Sternotherus,carinatus,56,56,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Sternotherus,minor,56,56,,gonochorous,
Reptilia,Chelonia,Kinosternidae,Sternotherus,odoratus,56,56,,gonochorous,
Reptilia,Chelonia,Pelomedusidae,Pelomedua,subrufa,36,36,,gonochorous,
Reptilia,Chelonia,Pelomedusidae,Pelusios,castaneus,34,34,,gonochorous,
Reptilia,Chelonia,Pelomedusidae,Podocnemis,erythrocephala,28,28,,gonochorous,
Reptilia,Chelonia,Pelomedusidae,Podocnemis,expansa,28,28,,gonochorous,
Reptilia,Chelonia,Pelomedusidae,Podocnemis,lewyana,28,28,,gonochorous,
