Order,Family,Genus,species,Karyotype,notes..Karyotype,Chromosome.number..female..2N,Chromosome.number..male..2N,notes..comments
Blattodea,Blaberidae,Archimandrita,tessellata,XO,,46,45,
Blattodea,Blaberidae,Blaberus,atropos,XO,,74,73,
Blattodea,Blaberidae,Blaberus,cranifer,XO,,74,73,
Blattodea,Blaberidae,Blaberus,discoidalis,XO,,38,37,
Blattodea,Blaberidae,Blaberus,giganteus,XO,,74,73,
Blattodea,Blaberidae,Blaberus,parabolicus,XO,,40,39,
Blattodea,Blaberidae,Byrsotria,fumigata,XO,,48,47,
Blattodea,Blaberidae,Capucina,patula,XO,,38,37,
Blattodea,Blaberidae,Diploptera,punctata,XO,,48,47,
Blattodea,Blaberidae,Epilampra,abdomennigrum,XO,,42,41,
Blattodea,Blaberidae,Epilampra,grisea,XO,,50,49,
Blattodea,Blaberidae,Epilampra,maculicollis,XO,,38,37,
Blattodea,Blaberidae,Epilampra,maya,XO,,36,35,
Blattodea,Blaberidae,Epilampra,sagitta,XO,,44,43,
Blattodea,Blaberidae,Epilampra,sp.81B,XO,,40,39,
Blattodea,Blaberidae,Eublaberus,distanti,XO,,66,65,
Blattodea,Blaberidae,Eublaberus,posticus,XO,,44,43,
Blattodea,Blaberidae,Galiblatta,williamsi,XO,,28,27,
Blattodea,Blaberidae,Gromphadorhina,brunneri,XO,,64,63,
Blattodea,Blaberidae,Gromphadorhina,chopardi,XO,,76,75,
Blattodea,Blaberidae,Gromphadorhina,portentosa,XO,,64,63,
Blattodea,Blaberidae,Hormetica,scrobiculata,XO,,32,31,
Blattodea,Blaberidae,Hormetica,ventralis,XO,,32,31,
Blattodea,Blaberidae,Hyporhicnoda,litomorpha,XO,,44,43,
Blattodea,Blaberidae,Lanxoblatta,emarginata,XO,,66,65,
Blattodea,Blaberidae,Leucophaea,maderae,XO,,24,23,
Blattodea,Blaberidae,Macropanesthia,rhinoceros,XO,,80,79,
Blattodea,Blaberidae,Nauphoeta,cinerea,XO,,38,37,
Blattodea,Blaberidae,Panchlora,nivea,XO,,36,35,
Blattodea,Blaberidae,Panchlora,sp.,XO,,32,31,
Blattodea,Blaberidae,Panchlora,viridis,XO,,38,37,
Blattodea,Blaberidae,Panesthia,sp.,XO,,38,37,
Blattodea,Blaberidae,Panesthia,stellata,XO,,38,37,
Blattodea,Blaberidae,Petasodes,dominicana,XO,,54,53,
Blattodea,Blaberidae,Phoetalia,circumvagans,XO,,54,53,
Blattodea,Blaberidae,Phortioica,phoraspoides,XO,,66,65,
Blattodea,Blaberidae,Pinaconota,sicca,XO,,34,33,
Blattodea,Blaberidae,Proscratea,complanata,XO,,36,35,
Blattodea,Blaberidae,Pycnoscelus,indicus,XO,,36,35,
Blattodea,Blaberidae,Pycnoscelus,surinamensis,,,35,NA,
Blattodea,Blaberidae,Pycnoscelus,surinamensis,,,53,NA,
Blattodea,Blaberidae,Rhabdoblatta,annandalei,XO,,50,49,
Blattodea,Blaberidae,Rhabdoblatta,sp.39T,XO,,32,31,
Blattodea,Blaberidae,Sp.,sp41B,XO,,30,29,
Blattodea,Blattellidae,Agmoblatta,thaxteri,XO,,26,25,
Blattodea,Blattellidae,Amazonina,conspersa,XO,,24,23,
Blattodea,Blattellidae,Amazonina,n.sp.,XO,,26,25,
Blattodea,Blattellidae,Amazonina,n.sp.38B,XO,,26,25,
Blattodea,Blattellidae,Attaphila,fungicola,XO,,34,33,
Blattodea,Blattellidae,Blattella,bisignata,XO,,24,23,
Blattodea,Blattellidae,Blattella,germanica,XO,,24,23,
Blattodea,Blattellidae,Blattella,lituricollis lituricollis,XO,,26,25,
Blattodea,Blattellidae,Blattella,sauteri,XO,,24,23,
Blattodea,Blattellidae,Blattella,sp.C43T,XO,,28,27,
Blattodea,Blattellidae,Blattella,sp.D,XO,,30,29,
Blattodea,Blattellidae,Blattella,sp.E71A,XO,,50,49,
Blattodea,Blattellidae,Blattella,vaga,XO,,24,23,
Blattodea,Blattellidae,Cariblatta,lutea minima,XO,,26,25,
Blattodea,Blattellidae,Dendroblatta,cnephaia,XO,,32,31,
Blattodea,Blattellidae,Dendroblatta,sobrina,XO,,26,25,
Blattodea,Blattellidae,Ectobius,pallidus,XO,,22,21,
Blattodea,Blattellidae,Gislenia,australica,XO,,34,33,
Blattodea,Blattellidae,Hemithyrsocera,latera/is,XO,,26,25,
Blattodea,Blattellidae,Ischnoptera,castanea,XO,,34,33,
Blattodea,Blattellidae,Ischnoptera,deropeltiformis,XO,,50,49,
Blattodea,Blattellidae,Ischnoptera,galibi,XO,,44,43,
Blattodea,Blattellidae,Ischnoptera,mura,XO,,34,33,
Blattodea,Blattellidae,Ischnoptera,panamae,XO,,40,39,
Blattodea,Blattellidae,Ischnoptera,rufa rufa,XO,,40,39,
Blattodea,Blattellidae,Ischnoptera,sp.93B,XO,,38,37,
Blattodea,Blattellidae,Loboptera,decipiens,XO,,34,33,
Blattodea,Blattellidae,Lobopterella,dimidiatipes,XO,,38,37,
Blattodea,Blattellidae,Lophoblatta,brevis,XO,,32,31,
Blattodea,Blattellidae,Lophoblatta,fissa,XO,,16,15,
