Order,Family,Genus,species,Karyotype,notes..Karyotype,Chromosome.number..female..2N,Chromosome.number..male..2N,notes..comments
Blattodea,Blattellidae,Lupparia,notulata,XO,,20,19,
Blattodea,Blattellidae,Margattea,punctulata,XO,,32,31,
Blattodea,Blattellidae,Nahublattella,n.sp.72B,XO,,20,19,
Blattodea,Blattellidae,Parasymploce,limbata,XO,,24,23,
Blattodea,Blattellidae,Parasymploce,sp.25T,XO,,32,31,
Blattodea,Blattellidae,Parasymploce,sp.30T,XO,,32,31,
Blattodea,Blattellidae,Parcoblatta,fulvescens,XO,,38,37,
Blattodea,Blattellidae,Parcoblatta,pennsylvanica,XO,,38,37,
Blattodea,Blattellidae,Pseudomops,septentrionalis,XO,,32,31,
Blattodea,Blattellidae,Shawella,couloniana,XO,,36,35,
Blattodea,Blattellidae,Supella,longipalpa,XO,,20,19,
Blattodea,Blattellidae,Symploce,capitata,XO,,28,27,
Blattodea,Blattellidae,Symploce,fusca,XO,,30,29,
Blattodea,Blattellidae,Symplocodes,marmorata,XO,,40,39,
Blattodea,Blattellidae,Symplocodes,n.sp.50,XO,,38,37,
Blattodea,Blattellidae,Xestoblatta,immaculata,XO,,38,37,
Blattodea,Blattidae,Blatta,orientalis,XO,,48,47,
Blattodea,Blattidae,Cryptocercus,punctulatus,XO,,40,39,
Blattodea,Blattidae,Deropeltis,erythrocephala,XO,,50,49,
Blattodea,Blattidae,Duchailluia,n.sp.,XO,,42,41,
Blattodea,Blattidae,Eurycotis,biolleyi,XO,,22,21,
Blattodea,Blattidae,Eurycotis,decipiens,XO,,28,27,
Blattodea,Blattidae,Eurycotis,floridana,XO,,28,27,
Blattodea,Blattidae,Lamproblatta,albipalpus,XO,,18,17,
Blattodea,Blattidae,Pelmatosilpha,coriacea,XO,,38,37,
Blattodea,Blattidae,Periplaneta,americana,XO,,34,33,
Blattodea,Blattidae,Periplaneta,australasiae,XO,,28,27,
Blattodea,Blattidae,Periplaneta,brunnea,XO,,28,27,
Blattodea,Blattidae,Periplaneta,fuliginosa,XO,,28,27,
Blattodea,Blattidae,Periplaneta,japonica,XO,,34,33,
Blattodea,Polyphagidae,Arenivaga,investigata,XO,,46,45,
Blattodea,Polyphagidae,Cryptocercus,punctulatus,XO, multivalent absent order listed as Dictyoptera,48,47,multivalent absent order listed as Dictyoptera
Blattodea,Polyphagidae,Cryptocercus,primarius,XO, multivalent absent order listed as Dictyoptera,20,19,multivalent absent order listed as Dictyoptera
Blattodea,Polyphagidae,Cryptocercus,punctulatus,XO, multivalent absent order listed as Dictyoptera,38,37,multivalent absent order listed as Dictyoptera
Blattodea,Polyphagidae,Cryptocercus,relictus,XO, multivalent absent order listed as Dictyoptera,18,17,multivalent absent order listed as Dictyoptera
Blattodea,Polyphagidae,Latindia,sp.3,,,NA,22,
Blattodea,Polyphagidae,Polyphaga,aegyptiaca,XO,,64,63,
Coleoptera,Anobiidae,Ernobius,mollis ,XY,Xyp,22,22,
Coleoptera,Anobiidae,Gibbium,psylloides ,XY,Xyp,18,18,
Coleoptera,Anobiidae,Lasioderma,serricorne ,XY,Xyp,18,18,
Coleoptera,Anobiidae,Ptinus,hirtellus ,XY,,18,18,
Coleoptera,Anobiidae,Ptinus,clavipes ,XY,Xyp,18,18,
Coleoptera,Anobiidae,Ptinus,villiger ,XY,Xyp,18,18,
Coleoptera,Anobiidae,Stegobium,paniceum ,XO,,18,17,
Coleoptera,Anthicidae,Notoxus,calcaratus ,XY,Xyp,18,18,
Coleoptera,Anthicidae,Notoxus,constrictus ,XY,Xyp,18,18,
Coleoptera,Anthicidae,Notoxus,monodon ,XY,Xyp,18,18,
Coleoptera,Anthribidae,Araecerus,fasciculatus ,XY,Xyp,22,22,
Coleoptera,Anthribidae,Euparius,marmoreus ,XY,Xyp,22,22,
Coleoptera,Anthribidae,Euparius,oculatus ,complex XY,Xyyp  ,NA,49,Xyyp
Coleoptera,Anthribidae,Habrissus,longipes ,XY,Xyp,22,22,
Coleoptera,Anthribidae,Platystomos,sellatus ,XY,Xyp,22,22,
Coleoptera,Anthribidae,Ptychoderes,bivittatus ,XY,Xyp,22,22,
Coleoptera,Anthribidae,Ptychoderes,tricostifrons ,XY,Xyp,22,22,
Coleoptera,Anthribidae,Tropideres,germanus ,XY,Xyp,22,22,
Coleoptera,Anthribidae,Tropideres,germanus ,XY,Xyp,24,24,
Coleoptera,Anthribidae,Tropideres,japonicus ,XY,Xyp,22,22,
Coleoptera,Anthribidae,Tropideres,laxus ,XY,Xyp,22,22,
Coleoptera,Attelabidae,Apoderus,coryli ,XY,Xyp,28,28,
Coleoptera,Attelabidae,Apoderus,balteatus,XY,Xyp,22,22,
Coleoptera,Attelabidae,Apoderus,balteatus,XY,Xyp,26,26,
Coleoptera,Attelabidae,Apoderus,erythrogaster nigriventris    ,XY,Xyp,28,28,
Coleoptera,Attelabidae,Apoderus,erythrogaster rufiventris    ,XY,Xyp,26,26,
Coleoptera,Attelabidae,Apoderus,jekeli,XY,,36,36,
Coleoptera,Attelabidae,Apoderus,jekeli,XY,,38,38,
Coleoptera,Attelabidae,Auletobius,irkutensis japonicus    ,XY,Xyp,32,32,
Coleoptera,Attelabidae,Auletobius,puberulus,XY,Xyp,32,32,
Coleoptera,Attelabidae,Byctiscus,launipennis ,,,NA,22,
Coleoptera,Attelabidae,Centrocorynus,aemulus ,XY,Xyp,28,28,
Coleoptera,Attelabidae,Deporaus,marginatus ,XY,Xyp,22,22,
Coleoptera,Attelabidae,Deporaus,affectatus,XY,NeoXY  ,24,24,NeoXY
Coleoptera,Attelabidae,Deporaus,harmanni,XY,Xyp,22,22,
Coleoptera,Attelabidae,Deporaus,minimus,XY,Xyp,26,26,
Coleoptera,Attelabidae,Deporaus,sp. 1    ,XY,Xyp,22,22,
Coleoptera,Attelabidae,Deporaus,sp. 2    ,XY,Xyp,22,22,
Coleoptera,Attelabidae,Deporaus,unicolor,XY,NeoXY  ,24,24,NeoXY
Coleoptera,Attelabidae,Deporaus,unicolor,XY,Xyp,34,34,
Coleoptera,Attelabidae,Deporaus,unicolor,complex XY,Xyyp  ,NA,29,Xyyp
Coleoptera,Attelabidae,Hypera,viciae ,XY,Xyp,22,22,
Coleoptera,Attelabidae,Larinus,sturnus ,XY,Xyp,38,38,
Coleoptera,Attelabidae,Liophloeus,lentus ,XY,Xyp,22,22,
Coleoptera,Attelabidae,Liparus,glabrirostris ,XY,Xyp,32,32,
Coleoptera,Attelabidae,Pissodes,notatus ,XY,Xyp,22,22,
Coleoptera,Attelabidae,Rhynchites,heros,XY,Xyp,38,38,
Coleoptera,Attelabidae,Rhynchites,pilosus,XY,Xyp,32,32,
Coleoptera,Attelabidae,Rhynchites,placidus,XY,Xyp,38,38,
Coleoptera,Attelabidae,Rhynchites,sp. 1    ,XY,Xyp,34,34,
Coleoptera,Bostrichidae,Apate,monacha ,XY,Xyp,22,22,
Coleoptera,Bostrichidae,Bostrychopsis,bengalensis ,XY,Xyp,20,20,
Coleoptera,Bostrichidae,Rhizopertha,dominica ,XY,Xyp,18,18,
Coleoptera,Bostrichidae,Sinoxylon,anale ,XY,Xyp,20,20,Xyp B chromosomes
Coleoptera,Brentidae,Apion,abruptum,XY,Xyp,22,22,
Coleoptera,Brentidae,Apion,collare,XY,Xyp,22,22,
Coleoptera,Brentidae,Apion,sp. 1    ,XY,Xyp,22,22,
Coleoptera,Brentidae,Apion,sp. 2    ,XY,Xyp,22,22,
Coleoptera,Brentidae,Aplemonus,tuberculata ,XY,Xyp,26,26,
Coleoptera,Brentidae,Brentus,anchorago ,XY,Xyp,12,12,
Coleoptera,Brentidae,Brentus,mexicanus ,XY,Xyp,12,12,
Coleoptera,Brentidae,Ceratapion,austriacum ,XY,Xyp,22,22,
Coleoptera,Brentidae,Ceratapion,penetrans ,XY,Xyp,22,22,
Coleoptera,Brentidae,Cylas,formicarius,XY,Xyp,22,22,
Coleoptera,Brentidae,Cylas,formicarius elegantulus    ,XY,Xyp,22,22,
Coleoptera,Brentidae,Eutrichapion,melancholicum ,XY,Xyp,22,22,
Coleoptera,Brentidae,Nanophyes,marmoratus ,XY,Xyp,22,22,
Coleoptera,Brentidae,Nemocephalus,femoratus ,XY,Xyp,12,12,
Coleoptera,Brentidae,Oxystoma,cerdo ,XY,Xyp,22,22,
Coleoptera,Brentidae,Proepisphales,elegans ,XY,Xyp,12,12,
Coleoptera,Brentidae,Pseudorychoides,insignis ,XY,Xyp,12,12,
Coleoptera,Brentidae,Rhopalapion,longirostre ,XY,Xyp,22,22,
Coleoptera,Brentidae,Squamapion,flavimanum ,XY,Xyp,22,22,
Coleoptera,Brentidae,Trachelizus,sp. 1 ,XY,Xyp,12,12,
Coleoptera,Buprestidae, Spruce,borer sp. I ,XY,,20,20,
Coleoptera,Buprestidae, Spruce,borer sp. II ,XY,,22,22,
Coleoptera,Buprestidae,Acmaeodera,boryi ,XY,Xyr  ,18,18,Xyr
Coleoptera,Buprestidae,Acmaeodera,flavofasciata ,XY,Xyr  ,18,18,Xyr
Coleoptera,Buprestidae,Acmaeodera,gibbulosa ,XY,Xyr  ,18,18,Xyr
Coleoptera,Buprestidae,Acmaeodera,hepburni ,XY,NeoXY  ,18,18,NeoXY
Coleoptera,Buprestidae,Acmaeodera,vetusta ,XY,Xyr  ,18,18,Xyr
Coleoptera,Buprestidae,Acmaeodera,flavolineata ,XY,NeoXY  ,20,20,NeoXY
Coleoptera,Buprestidae,Acmaeodera,pilosellae persica,XY,NeoXY  ,20,20,NeoXY
Coleoptera,Buprestidae,Agrilus,anxius ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Agrilus,liragus ,XY,NeoXY  ,20,20,NeoXY
Coleoptera,Buprestidae,Agrilus,politus pseudocoryli ,XY,,20,20,
Coleoptera,Buprestidae,Agrilus,sp. ,XY,NeoXY  ,20,20,NeoXY
Coleoptera,Buprestidae,Agrilus,sp. nr. Pensus ,XY,Xyp,NA,NA,
Coleoptera,Buprestidae,Agrilus,angustulus ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Agrilus,araxenus ,XY,,20,20,
Coleoptera,Buprestidae,Agrilus,obscuricollis ,XY,Xyp,20,20,
Coleoptera,Buprestidae,Anthaxia,bicolor ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Anthaxia,deaurata ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Anthaxia,hungarica ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Anthaxia,lgockii ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Anthaxia,mirabilis ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Anthaxia,podolica ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Anthaxia,sponsa ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Anthaxia,viridifrons ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Anthaxia,amasina ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Anthaxia,olympica ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Buprestis,fasciata ,,,NA,20,
Coleoptera,Buprestidae,Capnodis,miliaris ,XY,Xyp,20,20,
Coleoptera,Buprestidae,Capnodis,tenebrionis ,XY,NeoXY  ,14,14,NeoXY
Coleoptera,Buprestidae,Castiarina,adelaidae ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Castiarina,argillacea ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Castiarina,cupreoflava ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Castiarina,decemmaculata ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Castiarina,flavopicta ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Castiarina,grata ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Castiarina,rufipennis ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Castiarina,sexplagiata ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Castiarina,simulata ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Castiarina,subnotata ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Castiarina,subtincta ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Castiarina,triramosa ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Chalcophora,lacustris ,XO,,22,21,
Coleoptera,Buprestidae,Chrysobothris,dentipes ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Chrysobothris,floricola ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Chrysobothris,affinis tetragramma ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Coraebus,rubi ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Coraebus,sinuatus ,XY,,24,24,
Coleoptera,Buprestidae,Dicera,divaricata ,XY,Xyp,20,20,
Coleoptera,Buprestidae,Dicera,prolongata ,XY,Xyp,20,20,
Coleoptera,Buprestidae,Dicera,tenebrosa ,XY,Xyp,20,20,
Coleoptera,Buprestidae,Dicerca,aenea validiuscula,XY,Xyp,20,20,
Coleoptera,Buprestidae,Euchroma,gigantea ,complex XY,XXXYY,NA,26,XXXYY B chromosomes
Coleoptera,Buprestidae,Euchroma,gigantea ,complex XY,XXXYYY,NA,24,XXXYYY B chromosomes
Coleoptera,Buprestidae,Euchroma,gigantea ,complex XY,XXXYYY,NA,24,XXXYYY B chromosomes
Coleoptera,Buprestidae,Euchroma,gigantea ,complex XY,XXXYYY,NA,32,XXXYYY B chromosomes
Coleoptera,Buprestidae,Euchroma,gigantea ,complex XY,XXXYYY,NA,34,XXXYYY B chromosomes
Coleoptera,Buprestidae,Euchroma,gigantea ,complex XY,XXXYYY,NA,36,XXXYYY B chromosomes
Coleoptera,Buprestidae,Julodella,globithorax ,XY,Xyp,26,26,
Coleoptera,Buprestidae,Julodis,andreae ,XY,NeoXY  ,26,26,NeoXY
Coleoptera,Buprestidae,Julodis,faldermanni ,XY,,26,26,
Coleoptera,Buprestidae,Julodis,whithilli ,XY,NeoXY  ,24,24,NeoXY
Coleoptera,Buprestidae,Melanophila,acuminata ,XY,Xyp,12,12,
Coleoptera,Buprestidae,Melanophila,drummondi ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Melanophila,intrusa ,XY,Xyp,16,16,
Coleoptera,Buprestidae,Meliboeus,caucasicus ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Ovalisia,nadezhdae ,XY,Xyp,20,20,
Coleoptera,Buprestidae,Perotis,cuprata ,XY,Xyp,20,20,
Coleoptera,Buprestidae,Perotis,lugubris ,XY,Xyp,20,20,
Coleoptera,Buprestidae,Sphaerobothris,aghababiani,XY,Xyp,16,16,
Coleoptera,Buprestidae,Sphenoptera,mesopotamica ,,,NA,24,
Coleoptera,Buprestidae,Sphenoptera,scovitzi ,,,NA,24,
Coleoptera,Buprestidae,Sphenoptera,artemisiae ,XY,,24,24,
Coleoptera,Buprestidae,Sphenoptera,glabrata ,XY,,40,40,
Coleoptera,Buprestidae,Sphenoptera,tamarisci ,XY,NeoXY  ,30,30,NeoXY
Coleoptera,Buprestidae,Sphenoptera,scpvitzii,,,NA,42,
Coleoptera,Buprestidae,Stenocera,sp,XY,NeoXY  ,26,26,NeoXY
Coleoptera,Buprestidae,Sternocera,laevigata ,XY,NeoXY  ,26,26,NeoXY
Coleoptera,Buprestidae,Sternocera,nitidicollis ,XY,NeoXY  ,26,26,NeoXY
Coleoptera,Buprestidae,Stigmodera,cancellata ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Stigmodera,goryi ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Stigmodera,gratiosa ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Stigmodera,macularia ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Stigmodera,porosa ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Stigmodera,roei ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Themognatha,alternata ,XY,Xyp,20,20,
Coleoptera,Buprestidae,Themognatha,barbiventris ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Themognatha,bonvouloiri ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Themognatha,chalcodera ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Themognatha,chevrolati ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Themognatha,donovani ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Themognatha,heros ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Themognatha,mitchelli ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Themognatha,mniszechi ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Themognatha,nickerli ,XY,Xyp,20,20,
Coleoptera,Buprestidae,Themognatha,parvicollis ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Themognatha,pubicollis ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Themognatha,regia ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Themognatha,tricolorata ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Themognatha,variabilis ,XY,Xyp,22,22,
Coleoptera,Buprestidae,Themognatha,viridicincta ,XY,Xyp,22,22,
Coleoptera,Byrrhidae,Byrrhus,sp. ,XY,Xyp,18,18,
Coleoptera,Byrrhidae,Cytilus,alternatus ,XY,Xyp,18,18,
Coleoptera,Cantharidae,Cantharis,cryptica ,XO,,14,13,
Coleoptera,Cantharidae,Cantharis,fusca ,,,14,NA,
Coleoptera,Cantharidae,Cantharis,lateralis ,XO,,14,13,
Coleoptera,Cantharidae,Cantharis,livida ,XO,,14,13,
Coleoptera,Cantharidae,Cantharis,nigra ,XO,,14,13,
Coleoptera,Cantharidae,Cantharis,nigricans ,,,14,NA,
Coleoptera,Cantharidae,Cantharis,pallida ,XO,,14,13,
Coleoptera,Cantharidae,Cantharis,pellucida ,XO,,14,13,
Coleoptera,Cantharidae,Cantharis,rufa ,XO,,14,13,
Coleoptera,Cantharidae,Cantharis,rustica ,XO,,14,13,
Coleoptera,Cantharidae,Cantharis,thoracica ,XO,,14,13,
Coleoptera,Cantharidae,Cantharis,fusca ,XY,Xyp,20,20,
Coleoptera,Cantharidae,Cantharis,sp. ,XY,Xyp,20,20,
Coleoptera,Cantharidae,Cantharis,tenuicollis ,XY,Xyp,20,20,
Coleoptera,Cantharidae,Chauliognathus,expansus ,XO,,14,13,
Coleoptera,Cantharidae,Chauliognathus,fallax ,XO,,14,13,
Coleoptera,Cantharidae,Chauliognathus,flavipes ,XO,,14,13,
Coleoptera,Cantharidae,Chauliognathus,lineatus ,XO,,14,13,
Coleoptera,Cantharidae,Chauliognathus,octomaculatus ,XO,,14,13,
Coleoptera,Cantharidae,Chauliognathus,riograndensis ,XO,,14,13,
Coleoptera,Cantharidae,Chauliognathus,sp. 1 ,XO,,14,13,
Coleoptera,Cantharidae,Chauliognathus,tetrapunctatus ,XO,,14,13,
Coleoptera,Cantharidae,Malthinus,seriepunctatus ,,,12,NA,
Coleoptera,Cantharidae,Malthodes,dispar ,XO,,12,11,
Coleoptera,Cantharidae,Malthodes,minimus ,,,12,NA,
Coleoptera,Cantharidae,Rhagonycha,fulva ,XO,,14,13,
Coleoptera,Cantharidae,Rhagonycha,lignosa ,,,14,NA,
Coleoptera,Cantharidae,Rhagonycha,limbata ,XO,,14,13,
Coleoptera,Cantharidae,Rhagonycha,lutea ,XO,,14,13,
Coleoptera,Cantharidae,Rhagonycha,testacea ,XO,,14,13,
Coleoptera,Cantharidae,Silis,ruficollis ,XO,,14,13,B chromosomes
Coleoptera,Cantharidae,Telephorus,nobilitatus ,XO,,14,13,
Coleoptera,Cantharidae,Tylocerus,barberi ,XO,,14,13,
Coleoptera,Carabidae,Abacetus,salzamanni,XO,,42,41,
Coleoptera,Carabidae,Abax,ater,,,NA,35,
Coleoptera,Carabidae,Abax,ovalis,,,NA,35,
Coleoptera,Carabidae,Abax,parallelepipedus,XO,,36,35,
Coleoptera,Carabidae,Abax,parallelus,XO,,36,35,
Coleoptera,Carabidae,Acinopus,picipes,,,NA,37,
Coleoptera,Carabidae,Acinopus,giganteus,,,NA,37,
Coleoptera,Carabidae,Acinopus,gutturosus,XO,,38,37,
Coleoptera,Carabidae,Acupalpus,elegans ,XY,,22,22,
Coleoptera,Carabidae,Acupalpus,brunnipes,,,NA,45,
Coleoptera,Carabidae,Acupalpus,maculatus,,,NA,39,
Coleoptera,Carabidae,Agonini,sp. 1    ,,,NA,30,
Coleoptera,Carabidae,Agonini,sp. 2    ,,,NA,36,
Coleoptera,Carabidae,Agonum,bogemanni,XY,NeoXY  ,36,36,NeoXY
Coleoptera,Carabidae,Agonum,cupripenne,XY,NeoXY  ,36,36,NeoXY
Coleoptera,Carabidae,Agonum,dolens,XO,,40,39,
Coleoptera,Carabidae,Agonum,ericeti,XY,,34,34,
Coleoptera,Carabidae,Agonum,errans,XO,,38,37,
Coleoptera,Carabidae,Agonum,fuliginosum,XO,,38,37,
Coleoptera,Carabidae,Agonum,livens,XO,,44,43,
Coleoptera,Carabidae,Agonum,marginatum,XO,,38,37,
Coleoptera,Carabidae,Agonum,moestum,XY,,34,34,
Coleoptera,Carabidae,Agonum,moestum longipenne    ,XY,,34,34,
Coleoptera,Carabidae,Agonum,muelleri,XO,,38,37,
Coleoptera,Carabidae,Agonum,munsteri,XY,,36,36,
Coleoptera,Carabidae,Agonum,nigrum,XY,,34,34,
Coleoptera,Carabidae,Agonum,retractum,XO,,38,37,
Coleoptera,Carabidae,Agonum,sexpunctatum,XO,,38,37,
Coleoptera,Carabidae,Agonum,sp. 1    ,,,NA,37,
Coleoptera,Carabidae,Agonum,sp. 2    ,XO,,38,37,
Coleoptera,Carabidae,Agonum,thoreyi,XO,,36,35,
Coleoptera,Carabidae,Agonum,thoreyi melanocephalus    ,XO,,36,35,
Coleoptera,Carabidae,Agonum,corvus,,,NA,39,
Coleoptera,Carabidae,Agonum,extensicolle,XO,,38,37,
Coleoptera,Carabidae,Agonum,gracile,,,NA,36,
Coleoptera,Carabidae,Agonum,micans,,,NA,35,
Coleoptera,Carabidae,Agonum,viridicupreum,XO,,38,37,
Coleoptera,Carabidae,Amara,aenea,XO,,36,35,
Coleoptera,Carabidae,Amara,apricaria,XO,,34,33,
Coleoptera,Carabidae,Amara,aulica,,,NA,33,
Coleoptera,Carabidae,Amara,communis,XO,,38,37,
Coleoptera,Carabidae,Amara,familiaris,XY,NeoXY  ,34,34,NeoXY
Coleoptera,Carabidae,Amara,familiaris,XO,,34,33,
Coleoptera,Carabidae,Amara,giganteus,XO,,42,41,
Coleoptera,Carabidae,Amara,impuncticollis,,,NA,34,
Coleoptera,Carabidae,Amara,laevipennis,XY,NeoXY  ,32,32,NeoXY
Coleoptera,Carabidae,Amara,arcuata,,,NA,37,
