"Order","Family","Genus","species","Karyotype","Genotypic","Female.2N.","male.2N."
"Coleoptera","Cerambycidae","Epiglenea","comes ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Eutrapha","16-punctata ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Eutrapha","ocelota ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Exocentrus","adspersus ","XY","male heterogametic",26,26
"Coleoptera","Cerambycidae","Exocentrus","lusitanus ","XY","male heterogametic",22,22
"Coleoptera","Cerambycidae","Exocentrus","punctipennis ","XY","male heterogametic",22,22
"Coleoptera","Cerambycidae","Gaurotes","suvorovi ","XY","male heterogametic",22,22
"Coleoptera","Cerambycidae","Glenea","spilota ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Gonocallus","collaris ","XY","male heterogametic",14,14
"Coleoptera","Cerambycidae","Graphisurus","obsoletus ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Lagochirus","aranaeiformis ","XY","male heterogametic",24,24
"Coleoptera","Cerambycidae","Leptostylus","sp. ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Leptura","ochracea ","","",20,20
"Coleoptera","Cerambycidae","Liopus","nebulosus ","XY","male heterogametic",22,22
"Coleoptera","Cerambycidae","Macrotoma","scutellaris ","XY","male heterogametic",28,28
"Coleoptera","Cerambycidae","Mesosa","hirsuta ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Mesosa","myops japonica ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Mesosa","nebulosa ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Mesosa","senilis ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Molorchus","umbellatarum ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Monochamus","beloni ","XY","male heterogametic",22,22
"Coleoptera","Cerambycidae","Monochamus","galloprovinciallis galloprovinciallis ","XY","male heterogametic",22,22
"Coleoptera","Cerambycidae","Monochamus","marmorator ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Monochamus","notatus ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Monochamus","oregonensis ","XY","male heterogametic",22,22
"Coleoptera","Cerambycidae","Monochamus","saltuarius ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Monochamus","sartor ","XY","male heterogametic",24,24
"Coleoptera","Cerambycidae","Monochamus","scutellatus ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Monochamus","sutor ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Morimus","orientalis","XY","male heterogametic",24,24
"Coleoptera","Cerambycidae","Nusphera","madurensis ","XY","male heterogametic",22,22
"Coleoptera","Cerambycidae","Oberea","affinis ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Oberea","mandarina ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Oberea","oculata ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Oberea","sp. 1 ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Oberea","tripunctata ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Obrium","brunneum ","","",22,22
"Coleoptera","Cerambycidae","Olenocamptus","bilobus ","XY","male heterogametic",18,18
"Coleoptera","Cerambycidae","Olenocamptus","sp. 1 ","XY","male heterogametic",18,18
"Coleoptera","Cerambycidae","Oncideres","amputator","XO","male heterogametic",20,19
"Coleoptera","Cerambycidae","Palimna","liturata ","XY","male heterogametic",32,32
"Coleoptera","Cerambycidae","Phaea","sp. 1 ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Phymatodes","maaki ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Phytoecia","coerulescens ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Phytoecia","nigricornis ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Plagionotus","arcuatus ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Pogonocherus","dimidiatus ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Pogonocherus","hispidulus ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Pogonocherus","hispidus ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Pogonocherus","penicellatus ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Psenocerus","supernotatus ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Pterolophia","caudata ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Purpuricenus","indus ","XY","male heterogametic",28,28
"Coleoptera","Cerambycidae","Pyrestes","haematicus ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Rhagium","bifasciatum ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Rhagium","inquisitor ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Rhagium","mordax ","","",20,NA
"Coleoptera","Cerambycidae","Saperda","calcarata adspersa ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Saperda","moesta ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Saperda","perforata ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Saperda","populnea ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Saperda","scalaris ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Saphanus","piceus ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Spondylis","buprestoides ","XY","male heterogametic",30,30
"Coleoptera","Cerambycidae","Steirastoma","brevis","XY","male heterogametic",28,28
"Coleoptera","Cerambycidae","Stenodontes","spinibaris ","XY","male heterogametic",26,26
"Coleoptera","Cerambycidae","Stenostola","ferrea ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Stenygra","histrio ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Stenygrinum","4-notatum ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Strangalia","4-fasciata ","","",20,NA
"Coleoptera","Cerambycidae","Strangalia","maculata ","","",20,NA
"Coleoptera","Cerambycidae","Stromatium","barbatum ","XO","male heterogametic",20,19
"Coleoptera","Cerambycidae","Tetraopes","femoratus ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Tetraopes","tetropthamus ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Tetropium","castaneum ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Tetropium","castaneum ","XY","male heterogametic",24,24
"Coleoptera","Cerambycidae","Tetropium","fuscum ","XY","male heterogametic",22,22
"Coleoptera","Cerambycidae","Tetropium","gabrieli ","XY","male heterogametic",24,24
"Coleoptera","Cerambycidae","Tetrops","praeusta ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Trachyderes","striatus","XY","male heterogametic",22,22
"Coleoptera","Cerambycidae","Trachyderes","thoracicus","XY","male heterogametic",32,32
"Coleoptera","Cerambycidae","Trichophorus","interrogationes ","XY","male heterogametic",20,20
"Coleoptera","Cerambycidae","Vesperus","xatari","complex XY","male heterogametic",54,53
"Coleoptera","Cerambycidae","Xylosteus","spinolai ","","",20,NA
"Coleoptera","Cerambycidae","Xylotrechus","smei ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Acalymma","blandulum ","XO","male heterogametic",20,19
"Coleoptera","Chrysomelidae","Acalymma","fairmairei ","XO","male heterogametic",28,27
"Coleoptera","Chrysomelidae","Acalymma","gouldi ","XO","male heterogametic",20,19
"Coleoptera","Chrysomelidae","Acalymma","innuba ","XO","male heterogametic",20,19
"Coleoptera","Chrysomelidae","Acalymma","pallipe ","XO","male heterogametic",22,21
"Coleoptera","Chrysomelidae","Acalymma","quadrivittatum ","XO","male heterogametic",22,21
"Coleoptera","Chrysomelidae","Acalymma","sp. 1 ","XO","male heterogametic",24,23
"Coleoptera","Chrysomelidae","Acalymma","thiemei ","XO","male heterogametic",22,21
"Coleoptera","Chrysomelidae","Acalymma","trivittatum ","XO","male heterogametic",22,21
"Coleoptera","Chrysomelidae","Acalymma","vittatum ","XO","male heterogametic",22,21
"Coleoptera","Chrysomelidae","Acanthoscelides","obtectus ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Aedmon","eugeniae ","XO","male heterogametic",40,39
"Coleoptera","Chrysomelidae","Agathomerus","sellatus ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Agathomerus","subfasciatus ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Agathomerus","testaceus ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Agelastica","coerulea ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Agroiconota","inedita","XY","male heterogametic",42,42
"Coleoptera","Chrysomelidae","Agroiconota","propinqua ","XY","male heterogametic",38,38
"Coleoptera","Chrysomelidae","Alagoasa","acutangula ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","apicata ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","arcifera ","XY","male heterogametic",16,16
"Coleoptera","Chrysomelidae","Alagoasa","bicolor ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","bipunctata ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","burmeisteri ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","burmeisteri gounellei ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","burmeisteri maculatissima ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","ceracollis ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","decemguttata ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","dipus ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","dissepta cyaneofasciata ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","equestris ","XY","male heterogametic",12,12
"Coleoptera","Chrysomelidae","Alagoasa","extrema ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","fasciaticollis ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","illustris ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","januaria ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","jufina ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","libentina ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","libentina tetraspilota ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","mella commutata ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","posticalis ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","rotundicollis ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","sp. 1 ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","sp. 2 ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","trifasciata ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Alagoasa","trifasciata vulgatissima ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Altica","aenea brasiliensis ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","ambiens ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","ambiens alni ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","amethystina ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","ampelophaga ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","brevicollis ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","carduorum ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","carinata ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","chalybea ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Altica","coerulea ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","coerulescens ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","corni ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","lazulina ","","",34,NA
"Coleoptera","Chrysomelidae","Altica","lythri ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","oleeracea ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","populi ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","rosae ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","sp. 1 ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Altica","sp. 2 ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","sp. 3 ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","subplicata ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","tamaricis ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","tincta? ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Altica","ulmi ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Ambrostoma","superbum","XY","male heterogametic",40,40
"Coleoptera","Chrysomelidae","Amphelsasma","cavum ","XO","male heterogametic",18,17
"Coleoptera","Chrysomelidae","Amphelsasma","cavum n. sp. ","XO","male heterogametic",20,19
"Coleoptera","Chrysomelidae","Amphelsasma","cavum vicinum ","XO","male heterogametic",18,17
"Coleoptera","Chrysomelidae","Anisodera","excavata","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Aphthona","cyparissiae ","XY","male heterogametic",32,32
"Coleoptera","Chrysomelidae","Aphthona","depressa ","XY","male heterogametic",28,28
"Coleoptera","Chrysomelidae","Aphthona","flaviceps ","XY","male heterogametic",26,26
"Coleoptera","Chrysomelidae","Aphthona","herbigrada ","XY","male heterogametic",28,28
"Coleoptera","Chrysomelidae","Aphthona","herbigrada ","XY","male heterogametic",30,30
"Coleoptera","Chrysomelidae","Aphthona","illigeri ","XY","male heterogametic",28,28
"Coleoptera","Chrysomelidae","Aphthona","lamprocyanea ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Aphthona","lutescens ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Aphthona","nigriceps ","XY","male heterogametic",32,32
"Coleoptera","Chrysomelidae","Aphthona","venustula ","XY","male heterogametic",28,28
"Coleoptera","Chrysomelidae","Apophylia","sericea ","XY","male heterogametic",30,30
"Coleoptera","Chrysomelidae","Apraea","portoricensis ","XY","male heterogametic",10,10
"Coleoptera","Chrysomelidae","Apraea","portoricensis ","XY","male heterogametic",12,12
"Coleoptera","Chrysomelidae","Araucanomela","wellingtonensis ","XY","male heterogametic",28,28
"Coleoptera","Chrysomelidae","Argopus","punctipennis ","XY","male heterogametic",50,50
"Coleoptera","Chrysomelidae","Arrhenocoela","lineata ","XY","male heterogametic",26,26
"Coleoptera","Chrysomelidae","Asiorestia","impressa ","XY","male heterogametic",38,38
"Coleoptera","Chrysomelidae","Asphaera","abdominalis ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Asphaera","meticulosa ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Asphaera","octopunctata ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Asphaera","pauperata ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Asphaera","scutata","complex XY","male heterogametic",32,27
"Coleoptera","Chrysomelidae","Asphaera","semifulva","complex XY","male heterogametic",34,28
"Coleoptera","Chrysomelidae","Asphaera","unicolor ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Aspidimorpha","difformis ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Aspidimorpha","dorsata ","XY","male heterogametic",16,16
"Coleoptera","Chrysomelidae","Aspidimorpha","furcata ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Aspidimorpha","indica ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Aspidimorpha","miliaris ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Aulacophora","cincta ","XY","male heterogametic",30,30
"Coleoptera","Chrysomelidae","Aulacophora","femoralis ","XY","male heterogametic",58,58
"Coleoptera","Chrysomelidae","Aulacophora","fovecollis ","XY","male heterogametic",30,30
"Coleoptera","Chrysomelidae","Aulacophora","intermedia ","XY","male heterogametic",30,30
"Coleoptera","Chrysomelidae","Aulacoscelis","melanocera ","XO","male heterogametic",24,23
"Coleoptera","Chrysomelidae","Baliosus","californicus ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Basilepta","balyi ","XY","male heterogametic",28,28
"Coleoptera","Chrysomelidae","Basilepta","fuvipes ","XY","male heterogametic",28,28
"Coleoptera","Chrysomelidae","Basilepta","obliteratum ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Basiprionota","decemmaculata ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Blaptea","elguetai","XY","male heterogametic",28,28
"Coleoptera","Chrysomelidae","Blepharida","rhois ","XY","male heterogametic",32,32
"Coleoptera","Chrysomelidae","Botanochara","duodecimverrucata","XO","male heterogametic",32,31
"Coleoptera","Chrysomelidae","Bromius","obscurus ","XY","male heterogametic",16,16
"Coleoptera","Chrysomelidae","Bromius","obscurus ","","",24,NA
"Coleoptera","Chrysomelidae","Bruchidius","albizziae ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Bruchidius","aureus ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Bruchidius","dimorphous ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Bruchidius","mimosae ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Bruchidius","multilineolatus ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Bruchidius","saundersi ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Bruchidius","sp. 1 ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Bruchidius","urbanus ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Bruchus","pisorum ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Bruchus","pisorum ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Bruchus","rufimanus ","XO","male heterogametic",38,37
"Coleoptera","Chrysomelidae","Calligrapha","alni ","XO","male heterogametic",24,23
"Coleoptera","Chrysomelidae","Calligrapha","alnicola ","","",48,NA
"Coleoptera","Chrysomelidae","Calligrapha","amator ","XO","male heterogametic",24,23
"Coleoptera","Chrysomelidae","Calligrapha","apicalis ","","",48,NA
"Coleoptera","Chrysomelidae","Calligrapha","bidenticola ","XO","male heterogametic",24,23
"Coleoptera","Chrysomelidae","Calligrapha","californica corepsivora ","XO","male heterogametic",24,23
"Coleoptera","Chrysomelidae","Calligrapha","confluens ","XO","male heterogametic",24,23
"Coleoptera","Chrysomelidae","Calligrapha","fulvipes ","XO","male heterogametic",24,23
"Coleoptera","Chrysomelidae","Calligrapha","multipunctata bigsbyana ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Calligrapha","ostryae ","","",48,NA
"Coleoptera","Chrysomelidae","Calligrapha","philadelphica ","XO","male heterogametic",24,23
"Coleoptera","Chrysomelidae","Calligrapha","pnirsa ","XO","male heterogametic",24,23
"Coleoptera","Chrysomelidae","Calligrapha","polyspila ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Calligrapha","pruni ","XO","male heterogametic",24,23
"Coleoptera","Chrysomelidae","Calligrapha","rowena ","XO","male heterogametic",24,23
"Coleoptera","Chrysomelidae","Calligrapha","scalaris ","XO","male heterogametic",24,23
"Coleoptera","Chrysomelidae","Calligrapha","scalaris ","","",44,NA
"Coleoptera","Chrysomelidae","Calligrapha","verrucosa ","XO","male heterogametic",24,23
"Coleoptera","Chrysomelidae","Calligrapha","vicina ","","",48,NA
"Coleoptera","Chrysomelidae","Calligrapha","virginea ","","",48,NA
"Coleoptera","Chrysomelidae","Callosobruchus","analis ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Callosobruchus","chinensis ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Callosobruchus","chinensis ","XO","male heterogametic",20,19
"Coleoptera","Chrysomelidae","Callosobruchus","maculatus ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Callosobruchus","maculatus ","XO","male heterogametic",20,19
"Coleoptera","Chrysomelidae","Callosobruchus","subinnotatus ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Capraita","egleri ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Capraita","sp. 1 ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Capraita","strichocephala ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Capraita","trinidadensis ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Capraita","virkkii ","","",22,NA
"Coleoptera","Chrysomelidae","Caryedon","acaciae ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Caryedon","gonagra ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Caryedon","lineatonota ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Caryedon","longus ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Caryedon","opacus ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Caryedon","prosopius ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Caryedon","serratus ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Caryedon","sp. 1 ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Caryedon","sp. 2 ","XY","male heterogametic",23,23
"Coleoptera","Chrysomelidae","Cassida","azurea ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","bergeali ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","circumdata ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","deflorata ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","enervis ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","flaveola ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","fuscorufa ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","hemisphaerica ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Cassida","hexastigma ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","inquinata ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","leucanthemi ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","margaritacea ","XY","male heterogametic",30,30
"Coleoptera","Chrysomelidae","Cassida","nebulosa ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","pannonica ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Cassida","panzeri ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","prasina ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","pusilla ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","rubiginosa ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","rufovirens ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","sanguinolenta ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","sanguinosa ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","sp. 1 ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Cassida","subreticulata ","XY","male heterogametic",30,30
"Coleoptera","Chrysomelidae","Cassida","varians ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","vibex ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Cassida","vibex ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Cassida","virdis ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Cassida","virdis ","XY","male heterogametic",30,30
"Coleoptera","Chrysomelidae","Cassida","virdis 1 ","XY","male heterogametic",16,16
"Coleoptera","Chrysomelidae","Cassida","Virdis 2 ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Cassida","Virdis 3 ","XY","male heterogametic",30,30
"Coleoptera","Chrysomelidae","Cassida","vittata ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Cassidinae","sp","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Cerotoma","atrofasciata ","XO","male heterogametic",34,33
"Coleoptera","Chrysomelidae","Cerotoma","ruficornis ","XO","male heterogametic",34,33
"Coleoptera","Chrysomelidae","Cerotoma","sp. 1 in variegata complex ","XO","male heterogametic",22,21
"Coleoptera","Chrysomelidae","Chaetocnema","chlorophana ","XY","male heterogametic",20,20
"Coleoptera","Chrysomelidae","Chaetocnema","concinna ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Chaetocnema","conducta ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Chaetocnema","depressa ","XY","male heterogametic",26,26
"Coleoptera","Chrysomelidae","Chaetocnema","major ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Chaetocnema","tibialis ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Chalcophana","cincta ","XY","male heterogametic",26,26
"Coleoptera","Chrysomelidae","Chalcophana","sp. ","XY","male heterogametic",26,26
"Coleoptera","Chrysomelidae","Chalcophana","sp. 1 ","XY","male heterogametic",26,26
"Coleoptera","Chrysomelidae","Chalcophana","verecunda ","XY","male heterogametic",26,26
"Coleoptera","Chrysomelidae","Chalepus","dorsalis","XY","male heterogametic",16,16
"Coleoptera","Chrysomelidae","Chalepus","inequalis ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Chalepus","sanguinicollis ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Chalepus","sp. 1 ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Charidotella","immaculata","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Charidotella","quadrisignata ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Charidotella","sexpunctata","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Charidotella","sexpunctata ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Chelymorpha","cassidea ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Chelymorpha","cribraria","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Chelymorpha","indigesta ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Chelymorpha","nigricollis ","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Chelymorpha","varians","XY","male heterogametic",22,22
"Coleoptera","Chrysomelidae","Chirida","sp. 1 ","XY","male heterogametic",36,36
"Coleoptera","Chrysomelidae","Chiridopsis","bupunctata ","XY","male heterogametic",18,18
"Coleoptera","Chrysomelidae","Chlamydocassis","metallica ","XY","male heterogametic",32,32
"Coleoptera","Chrysomelidae","Chrysochus","asclepiadeus ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Chrysochus","auratus ","XY","male heterogametic",26,26
"Coleoptera","Chrysomelidae","Chrysochus","cobaltinus ","XO","male heterogametic",30,29
"Coleoptera","Chrysomelidae","Chrysodina","sp. ","XY","male heterogametic",12,12
"Coleoptera","Chrysomelidae","Chrysolina","affinis ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Chrysolina","americana ","XY","male heterogametic",24,24
"Coleoptera","Chrysomelidae","Chrysolina","analis ","XY","male heterogametic",40,40
