"Order","Family","Genus","species","Karyotype","Genotypic","Female.2N.","male.2N."
"Blattodea","Blaberidae","Phortioica","phoraspoides","XO","male heterogametic",66,65
"Blattodea","Blaberidae","Pinaconota","sicca","XO","male heterogametic",34,33
"Blattodea","Blaberidae","Proscratea","complanata","XO","male heterogametic",36,35
"Blattodea","Blaberidae","Pycnoscelus","indicus","XO","male heterogametic",36,35
"Blattodea","Blaberidae","Pycnoscelus","surinamensis","","",35,NA
"Blattodea","Blaberidae","Pycnoscelus","surinamensis","","",53,NA
"Blattodea","Blaberidae","Rhabdoblatta","annandalei","XO","male heterogametic",50,49
"Blattodea","Blaberidae","Rhabdoblatta","sp.39T","XO","male heterogametic",32,31
"Blattodea","Blaberidae","Sp.","sp41B","XO","male heterogametic",30,29
"Blattodea","Blattellidae","Agmoblatta","thaxteri","XO","male heterogametic",26,25
"Blattodea","Blattellidae","Amazonina","conspersa","XO","male heterogametic",24,23
"Blattodea","Blattellidae","Amazonina","n.sp.","XO","male heterogametic",26,25
"Blattodea","Blattellidae","Amazonina","n.sp.38B","XO","male heterogametic",26,25
"Blattodea","Blattellidae","Attaphila","fungicola","XO","male heterogametic",34,33
"Blattodea","Blattellidae","Blattella","bisignata","XO","male heterogametic",24,23
"Blattodea","Blattellidae","Blattella","germanica","XO","male heterogametic",24,23
"Blattodea","Blattellidae","Blattella","lituricollis lituricollis","XO","male heterogametic",26,25
"Blattodea","Blattellidae","Blattella","sauteri","XO","male heterogametic",24,23
"Blattodea","Blattellidae","Blattella","sp.C43T","XO","male heterogametic",28,27
"Blattodea","Blattellidae","Blattella","sp.D","XO","male heterogametic",30,29
"Blattodea","Blattellidae","Blattella","sp.E71A","XO","male heterogametic",50,49
"Blattodea","Blattellidae","Blattella","vaga","XO","male heterogametic",24,23
"Blattodea","Blattellidae","Cariblatta","lutea minima","XO","male heterogametic",26,25
"Blattodea","Blattellidae","Dendroblatta","cnephaia","XO","male heterogametic",32,31
"Blattodea","Blattellidae","Dendroblatta","sobrina","XO","male heterogametic",26,25
"Blattodea","Blattellidae","Ectobius","pallidus","XO","male heterogametic",22,21
"Blattodea","Blattellidae","Gislenia","australica","XO","male heterogametic",34,33
"Blattodea","Blattellidae","Hemithyrsocera","latera/is","XO","male heterogametic",26,25
"Blattodea","Blattellidae","Ischnoptera","castanea","XO","male heterogametic",34,33
