"Order","Family","Genus","Species","femalediploidnumber","sexchromosome"
"Orthoptera","Acrididae","Zygoclistron","Zygoclistron falconinum",20,"XY"
"Orthoptera","Acrididae","Zygoclistron","Zygoclistron nasicum",20,"XY"
"Orthoptera","Acrididae","Zygoclistron","Zygoclistron trachystictum",20,"XY"
"Orthoptera","Ommexechidae","Aucacris","Aucacris bullocki",24,"XO"
"Orthoptera","Ommexechidae","Calcitrena","Calcitrena maculosa",24,"XO"
"Orthoptera","Ommexechidae","Clarazella","Clarazella bimaculata",24,"XO"
"Orthoptera","Ommexechidae","Clarazella","Clarazella patagona",24,"XO"
"Orthoptera","Ommexechidae","Conometopus","Conometopus sulcaticollis",26,"XO"
"Orthoptera","Ommexechidae","Cumainocloidus","Cumainocloidus cordillerae",24,"XO"
"Orthoptera","Ommexechidae","Descampsacris","Descampsacris serrulata",24,"XO"
"Orthoptera","Ommexechidae","Graea","Graea horrida",24,"XO"
"Orthoptera","Ommexechidae","Neuquina","Neuquina fictor",22,"XY"
"Orthoptera","Ommexechidae","Ommexecha","Ommexecha sp.",24,"XO"
"Orthoptera","Ommexechidae","Ommexecha","Ommexecha virens",24,"XO"
"Orthoptera","Ommexechidae","Ommexechia","Ommexechia germari",22,"XO"
"Orthoptera","Ommexechidae","Pachyosa","Pachyosa signata",22,"XY"
"Orthoptera","Ommexechidae","Spathalium","Spathalium audouini",22,"XY"
"Orthoptera","Ommexechidae","Tetrixocephalus","Tetrixocephalus chilensis",24,"XO"
"Orthoptera","Ommexechidae","Tetrixocephalus","Tetrixocephalus micropterus",24,"XO"
"Orthoptera","Ommexechidae","Tetrixocephalus","Tetrixocephalus sergioi",24,"XO"
"Orthoptera","Ommexechidae","Tetrixocephalus","Tetrixocephalus sp.",24,"XO"
"Orthoptera","Ommexechidae","Tetrixocephalus","Tetrixocephalus willemsei",22,"XY"
"Orthoptera","Pauliniidae","Marellia","Marellia remipes",24,"XO"
"Orthoptera","Pauliniidae","Paulinia","Paulinia acuminata",24,"XO"
"Orthoptera","Pyrgomorphidae","Omura","Omura congrua",20,"XO"
"Orthoptera","Romaleidae","Alcamenes","Alcamenes clarazianus",24,"XO"
"Orthoptera","Romaleidae","Antandrus","Antandrus viridus",24,"XO"
"Orthoptera","Romaleidae","Chariacris","Chariacris miniacea",24,"XO"
"Orthoptera","Romaleidae","Chromacris","Chromacris miles",24,"XO"
"Orthoptera","Romaleidae","Chromacris","Chromacris peruviana",24,"XO"
"Orthoptera","Romaleidae","Chromacris","Chromacris speciosa",24,"XO"
"Orthoptera","Romaleidae","Coryacris","Coryacris angustipennis",24,"XO"
"Orthoptera","Romaleidae","Diponthus","Diponthus clarazianus",24,"XO"
"Orthoptera","Romaleidae","Diponthus","Diponthus communis",22,"XY"
"Orthoptera","Romaleidae","Diponthus","Diponthus dispar",22,"XO"
"Orthoptera","Romaleidae","Diponthus","Diponthus electus",22,"XO"
"Orthoptera","Romaleidae","Diponthus","Diponthus maculiferus",22,"XO"
"Orthoptera","Romaleidae","Diponthus","Diponthus prope communis",24,"XO"
"Orthoptera","Romaleidae","Diponthus","Diponthus sp.",24,"XO"
"Orthoptera","Romaleidae","Elaeochlora","Elaeochlora basalis",24,"XO"
"Orthoptera","Romaleidae","Elaeochlora","Elaeochlora brachyptera",24,"XO"
"Orthoptera","Romaleidae","Elaeochlora","Elaeochlora sp.",24,"XO"
"Orthoptera","Romaleidae","Elaeochlora","Elaeochlora trilineata",24,"XO"
"Orthoptera","Romaleidae","Elaeochlora","Elaeochlora viridicata",24,"XO"
"Orthoptera","Romaleidae","Eutropidacris","Eutropidacris collares",24,"XO"
"Orthoptera","Romaleidae","Prionolopha","Prionolopha serrata",24,"XO"
"Orthoptera","Romaleidae","Procolpia","Procolpia minor",24,"XO"
"Orthoptera","Romaleidae","Securigera","Securigera acutangula",24,"XO"
"Orthoptera","Romaleidae","Xestotrachelus","Xestotrachelus robustus",24,"XO"
"Orthoptera","Romaleidae","Xyleus","Xyleus attenuatus",24,"XO"
"Orthoptera","Romaleidae","Xyleus","Xyleus discoideus",24,"XO"
"Orthoptera","Romaleidae","Xyleus","Xyleus gracilis",24,"XO"
"Orthoptera","Romaleidae","Xyleus","Xyleus insignis",24,"XO"
"Orthoptera","Romaleidae","Xyleus","Xyleus laevipes",22,"XY"
"Orthoptera","Romaleidae","Xyleus","Xyleus modestus",24,"XO"
"Orthoptera","Romaleidae","Xyleus","Xyleus sp. 1",24,"XO"
"Orthoptera","Romaleidae","Xyleus","Xyleus sp. 2",24,"XO"
"Orthoptera","Romaleidae","Xyleus","Xyleus sp. 3",24,"XO"
