"Order","Family","Genus","Species","femalediploidnumber","sexchromosome"
"Phasmatodea","Heteropterygidae","Sungaya","Sungaya inexpectata",44,""
"Phasmatodea","Phasmatidae","Medauroidea","Medauroidea extradentata",38,"XO"
"Phasmatodea","Phasmatidae","Medauroidea","Medauroidea extradentata",38,""
"Phasmatodea","Pseudophasmatidae","Peruphasma","Peruphasma schultei",44,"XO"
"Isoptera","Kalotermitidae","Bifiditermes","Bifiditermes improbus",36,"XXY"
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes austrinus",NA,""
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes brevis",36,"XYY"
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes cristatus",NA,""
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes cynocephalus",44,"XXY"
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes dudleyi",40,""
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes gearyi",48,"XY"
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes papulosus",42,""
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes primus",30,""
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes queenslandis",42,"XXY"
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes riverinae",42,""
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes secundus",40,""
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes secundus",40,""
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes sp.",NA,""
"Isoptera","Kalotermitidae","Glyptotermes","Glyptotermes brevicornis",42,""
"Isoptera","Kalotermitidae","Glyptotermes","Glyptotermes iridipennis",NA,""
"Isoptera","Kalotermitidae","Incisitermes","Incisitermes barretti",NA,""
"Isoptera","Kalotermitidae","Incisitermes","Incisitermes sp.",42,""
"Isoptera","Kalotermitidae","Kalotermes","Kalotermes convexus",NA,""
"Isoptera","Kalotermitidae","Neotermes","Neotermes insularis",52,"XXXYYY"
"Isoptera","Kalotermitidae","Neotermes","Neotermes insularis",NA,""
"Isoptera","Kalotermitidae","Procryptotermes","Procryptotermes australiensis",48,"XXY"
"Isoptera","Stolotermitidae","Porotermes","Porotermes adamsoni",40,""
"Isoptera","Stolotermitidae","Stolotermes","Stolotermes victoriensis",32,"XO"
"Plecoptera","Perlidae","Perla","Perla abdominalis",26,"XXOO"
"Plecoptera","Perlidae","Perla","Perla baetica",26,"XXOO"
"Plecoptera","Perlidae","Perla","Perla bipunctata",22,"XO"
"Plecoptera","Perlidae","Perla","Perla cephalotes",26,"XXOO"
"Plecoptera","Perlidae","Perla","Perla immarginata",10,"XY"
"Plecoptera","Perlidae","Perla","Perla maxima",20,"XO"
"Plecoptera","Perlodidae","Isogenus","Isogenus alpinus",NA,""
"Plecoptera","Perlodidae","Isogenus","Isogenus fontium",26,"XXOO"
"Plecoptera","Perlodidae","Isogenus","Isogenus imhoffi",NA,""
"Plecoptera","Perlodidae","Isoperla","Isoperla grammatica",26,"XXOO"
"Plecoptera","Perlodidae","Isoperla","Isoperla rivulorum",26,"XXOO"
"Plecoptera","Perlodidae","Perlodes","Perlodes intricala",NA,""
"Plecoptera","Perlodidae","Perlodes","Perlodes jurassica",NA,""
"Plecoptera","Perlodidae","Perlodes","Perlodes microcephala",28,"XXXO"
"Orthoptera","Acrididae","Abracris","Abracris dilecta",24,"XO"
"Orthoptera","Acrididae","Abracris","Abracris sp. B",22,"XO"
"Orthoptera","Acrididae","Adimantus","Adimantus cubiceps",24,"XO"
"Orthoptera","Acrididae","Adimantus","Adimantus ornatissimus",24,"XO"
"Orthoptera","Acrididae","Albretchia","Albretchia palpata",24,"XO"
"Orthoptera","Acrididae","Aleuas","Aleuas gracilis",20,"XY"
"Orthoptera","Acrididae","Aleuas","Aleuas lineatus",20,"XY"
"Orthoptera","Acrididae","Aleuas","Aleuas sp. 1",20,"XY"
"Orthoptera","Acrididae","Aleuas","Aleuas sp. 2",22,"XY"
"Orthoptera","Acrididae","Aleuas","Aleuas sp. 3",20,"XY"
"Orthoptera","Acrididae","Aleuas","Aleuas vitticollis",20,"XO"
"Orthoptera","Acrididae","Allotruxalis","Allotruxalis sp.",24,"XO"
"Orthoptera","Acrididae","Allotruxalis","Allotruxalis strigata",24,"XO"
"Orthoptera","Acrididae","Amblytropidia","Amblytropidia australis",24,"XO"
"Orthoptera","Acrididae","Apacris","Apacris rubrithorax",24,"XO"
"Orthoptera","Acrididae","Apacris","Apacris sp. 1",24,"XO"
"Orthoptera","Acrididae","Apolobamba","Apolobamba prope pulchra",24,"XO"
"Orthoptera","Acrididae","Atrachelacris","Atrachelacris olivaceus",22,"XY"
"Orthoptera","Acrididae","Atrachelacris","Atrachelacris unicolor",22,"XY"
"Orthoptera","Acrididae","Belosacris","Belosacris coccineipes",24,"XO"
"Orthoptera","Acrididae","Bucephalacris","Bucephalacris bohlsii",22,"XO"
"Orthoptera","Acrididae","Carbonellacris","Carbonellacris grossa",24,"XO"
"Orthoptera","Acrididae","Chlorus","Chlorus bolivianus",20,"XO"
"Orthoptera","Acrididae","Chlorus","Chlorus borrelli",22,"XO"
"Orthoptera","Acrididae","Chlorus","Chlorus sp. 1",20,"XO"
"Orthoptera","Acrididae","Chlorus","Chlorus vittatus",24,"XO"
"Orthoptera","Acrididae","Cocytolettix","Cocytolettix argentina",24,"XO"
"Orthoptera","Acrididae","Cocytolettix","Cocytolettix intermedia",24,"XO"
"Orthoptera","Acrididae","Cocytolettix","Cocytolettix pulchripennis",24,"XO"
"Orthoptera","Acrididae","Cocytolettix","Cocytolettix sp. 1",24,"XO"
"Orthoptera","Acrididae","Cornops","Cornops aquaticum",24,"XO"
"Orthoptera","Acrididae","Cornops","Cornops frenatum",24,"XO"
"Orthoptera","Acrididae","Covasacris","Covasacris sp.",24,"XO"
"Orthoptera","Acrididae","Dichromorpha","Dichromorpha australis",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus alejomesai",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus auriventris",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus bergi",22,"XY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus conspersus",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus democraticus",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus dubius",22,"XXY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus elongatus",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus exilis",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus fuscus",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus fuscus.2",20,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus maculipennis",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus mantiqueirae",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus misionensis",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus obsurus",18,"XY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus paraelongatus",24,"XO"
