order,family,genus,species,sex.system,SCS,scs.notes,fem.2n,mal.2n,cite.key
Mantodea,Hymenopodidae,Acanthops,Acanthops_falcata,,XO,,20,19,white1976blattodea
Mantodea,Amorphoscelidae,Amorphoscelis,Amorphoscelis_sp,,XO,,34,33,white1976blattodea
Isoptera,Termitidae,Amitermes,Amitermes_germanus,,,,42,NA,bergamaschi2007karyology
Blattodea,Blaberidae,Archimandrita,Archimandrita_tessellata,,XO,,46,45,white1976blattodea
Mantodea,Hymenopodidae,Antemna,Antemna_rapax,,complex XY,XXY,28,27,white1976blattodea
Mantodea,Mantidae,Antistia,Antistia_sp,,XO,,28,27,white1976blattodea
Mantodea,Mantidae,Archimantis,Archimantis_sobrina,,complex XY,,28,27,white1976blattodea
Mantodea,Mantidae,Bolbe,Bolbe_pallida,,XO,,30,25,white1976blattodea
Blattodea,Polyphagidae,Arenivaga,Arenivaga_sp,,XO,,46,45,white1976blattodea
Mantodea,Mantidae,Callimantis,Callimantis_antillarum,,XO,,18,17,white1976blattodea
Mantodea,Mantidae,Cheddikulama,Cheddikulama_straminea,,complex XY,XXY,28,27,white1976blattodea
Mantodea,Mantidae,Choeradodis,Choeradodis_rhombicollis,,complex XY,XXY,32,31,white1976blattodea
Mantodea,Amorphoscelidae,Cliomantis,Cliomantis_cornuta,,XO,,26,25,white1976blattodea
Mantodea,Hymenopodidae,Creobroter,Creobroter_laevicollis,,XO,,28,27,white1976blattodea
Mantodea,Mantidae,Deiphobe,Deiphobe_sp,,XO,,20,19,white1976blattodea
Orthoptera,Tristiridae,Atacamacris,Atacamacris_diminuta,,XY,,10,10,mesa1982cariologia
Isoptera,Termitidae,Amitermes,Amitermes_parvus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,bergamaschi2007karyology
Orthoptera,Acrididae,Atrachelacris,Atrachelacris_sp,,XY,,22,22,mesa1982cariologia
Mantodea,Eremiaphilidae,Didymocorypha,Didymocorypha_lanceolata,,XO,,16,15,white1976blattodea
Mantodea,Mantidae,Dystacta,Dystacta_alticeps,,XO,,26,25,white1976blattodea
Mantodea,Empusidae,Empusa,Empusa_sp,,XO,,28,27,white1976blattodea
Mantodea,Empusidae,Gongylus,Gongylus_sp,,XO,,28,27,white1976blattodea
Mantodea,Hymenopodidae,Harpagomantis,Harpagomantis_tricolor,,XO,,26,25,white1976blattodea
Mantodea,Hymenopodidae,Hestiasula,Hestiasula_sp,,XO,,28,27,white1976blattodea
Mantodea,Mantidae,Hierodula,Hierodula_patellifera,,complex XY,XXY,28,27,white1976blattodea
Mantodea,Eremiaphilidae,Humbertiella,Humbertiella_similis,,XO,,32,31,white1976blattodea
Mantodea,Mantidae,Iris,Iris_sp,,XO,,26,25,white1976blattodea
Mantodea,Mantidae,Kongobatha,Kongobatha_sp,,XO,,30,25,white1976blattodea
Mantodea,Mantidae,Ligaria,Ligaria_sp,,XO,,24,23,white1976blattodea
Mantodea,Mantidae,Liturgusa,Liturgusa_maya,,XO,,18,17,white1976blattodea
Mantodea,Mantidae,Liturgusa,Liturgusa_cursor,,XO,,34,33,white1976blattodea
Mantodea,Mantidae,Mantis,Mantis_religiosa,,complex XY,XXY,28,27,white1976blattodea
Mantodea,Mantoididae,Mantoida,Mantoida_schraderi,,XO,,38,37,white1976blattodea
Mantodea,Mantidae,Miomantis,Miomantis_sp,,XO,,16,15,white1976blattodea
Mantodea,Mantidae,Oligonyx,Oligonyx_sp,,XO,,30,19,white1976blattodea
Mantodea,Mantidae,Orthodera,Orthodera_sp,,complex XY,XXY,26,25,white1976blattodea
Mantodea,Mantidae,Parathespis,Parathespis_humbertiana,,XO,,32,31,white1976blattodea
Mantodea,Mantidae,Polyspilota,Polyspilota_aeruginosa,,complex XY,XXY,28,27,white1976blattodea
Mantodea,Hymenopodidae,Pseudacanthops,Pseudacanthops_sp,,,,20,NA,white1976blattodea
Blattodea,Blaberidae,Blaberus,Blaberus_discoidalis,,XO,,38,37,white1976blattodea
Isoptera,Termitidae,Amitermes,Amitermes_darwini,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,bergamaschi2007karyology
Dermaptera,Forficulidae,Anechura,Anechura_sp,,XY,,24,24,hewitt1979animal
Blattodea,Blaberidae,Blaberus,Blaberus_giganteus,,XO,,74,73,white1976blattodea
Orthoptera,Acrididae,Chlorus,Chlorus_bolivianus,,XO,,20,19,mesa1982cariologia
Embiidina,Embiidae,Embia,Embia_ramburi,,XO,,22,21,white1976blattodea
Blattodea,Blattidae,Blatta,Blatta_orientalis,,XO,,48,47,white1976blattodea
Phasmatodea,Phylliidae,Bacillus,Bacillus_atticus,,,,34,NA,scali2003linkage
Blattodea,Blattellidae,Blattella,Blattella_bisignata,,XO,,24,23,white1976blattodea
Isoptera,Kalotermitidae,Bifiditermes,Bifiditermes_improbus,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1,36,35,luykx1990cytogenetic
Embiidina,Embiidae,Embia,Embia_tyrrhenica,,XO,,22,21,white1976blattodea
Blattodea,Blattellidae,Blattella,Blattella_germanica,,XO,,24,23,white1976blattodea
Isoptera,Rhinotermitidae,Coptotermes,Coptotermes_acinaciformis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,42,bergamaschi2007karyology
Isoptera,Termitidae,Crenetermes,Crenetermes_albotarsalis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1Y2 sex-linked multivalent in males,42,NA,vincke1978sex
Blattodea,Blattellidae,Blattella,Blattella_sauteri,,XO,,24,23,white1976blattodea
Blattodea,Blattellidae,Blattella,Blattella_vaga,,XO,,24,23,white1976blattodea
Phasmatodea,Phasmidae,Carausius,Carausius_morosus,parthenogenetic,,,64,NA,pijnacker1980sex
Blattodea,Blaberidae,Byrsotria,Byrsotria_fumigata,,XO,,48,47,white1976blattodea
Dermaptera,Labiduridae,Anisolabis,Anisolabis_maritima,,complex XY,XXY,26,25,hewitt1979animal
Blattodea,Polyphagidae,Cryptocercus,Cryptocercus_primarius,,XO, multivalent absent order listed as Dictyoptera,20,19,bergamaschi2007karyology
Orthoptera,Romaleidae,Chromacris,Chromacris_speciosa,,XO,,24,23,mesa1982cariologia
Orthoptera,Acrididae,Dichromatos,Dichromatos_lilloanus,gonochorous,XY,X1X1X2X2/X1X2Y,22,NA,castillo2010sex
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_brevis,gonochorous,complex XY|homomorphic,X1X1/X1Y1Y2,36,37,luykx1990cytogenetic
Blattodea,Polyphagidae,Cryptocercus,Cryptocercus_punctulatus,gonochorous,XO, multivalent absent order listed as Dictyoptera,48,47,bedo1987undifferentiated
Blattodea,Polyphagidae,Cryptocercus,Cryptocercus_relictus,,XO, multivalent absent order listed as Dictyoptera,18,17,bergamaschi2007karyology
Blattodea,Blattidae,Deropeltis,Deropeltis_erythrocephala,,XO,,50,49,white1976blattodea
Phasmatodea,Phylliidae,Phyllium,Phyllium_bioculatum,,XO,,34,33,white1976blattodea
Dermaptera,Arixenidae,Arixenia,Arixenia_esau,,XY,,60,60,hewitt1979animal
Embiidina,Oligotomidae,Haploembia,Haploembia_solieri,,XO,,20,19,white1976blattodea
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_secundus,,,,40,NA,bergamaschi2007karyology
Mantodea,Mantidae,Pseudomiopteryx,Pseudomiopteryx_infuscata,,XO,,18,17,white1976blattodea
Blattodea,Blaberidae,Diploptera,Diploptera_punctata,,XO,,48,47,white1976blattodea
Blattodea,Blattellidae,Ectobius,Ectobius_pallidus,,XO,,22,21,white1976blattodea
Blattodea,Blaberidae,Epilampra,Epilampra_sp,,XO,,42,41,white1976blattodea
Phasmatodea,Phasmidae,Sipyloidea,Sipyloidea_sipylus,,,,80,80,white1976blattodea
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_queenslandis,gonochorous,complex XY|homomorphic,X1X1X2X2/X1X2Y1,42,41,luykx1990cytogenetic
Blattodea,Blaberidae,Eublaberus,Eublaberus_distanti,,XO,,66,65,white1976blattodea
Blattodea,Blaberidae,Eublaberus,Eublaberus_posticus,,XO,,44,43,white1976blattodea
Blattodea,Blattidae,Eurycotis,Eurycotis_floridana,,XO,,28,27,white1976blattodea
Orthoptera,Acrididae,Dichromorpha,Dichromorpha_sp,,XO,,24,23,mesa1982cariologia
Blattodea,Blaberidae,Galiblatta,Galiblatta_sp,,XO,,28,27,white1976blattodea
Embiidina,Embiidae,Embia,Embia_nuragica,,XO,,24,23,white1976blattodea
Blattodea,Blaberidae,Gromphadorhina,Gromphadorhina_portentosa,,XO,,64,63,white1976blattodea
Mantodea,Mantidae,Schizocephala,Schizocephala_bicornis,,XO,,30,27,white1976blattodea
Dermaptera,Labiidae,Chaetospania,Chaetospania_sp,,complex XY,XXXXY,34,31,hewitt1979animal
Blattodea,Blattellidae,Hemithyrsocera,Hemithyrsocera_sp,,XO,,26,25,white1976blattodea
Blattodea,Blattidae,Lamproblatta,Lamproblatta_albipalpus,,XO,,18,17,white1976blattodea
Phasmatodea,Phasmidae,Extatosoma,Extatosoma_tiaratum,,XO,,36,35,white1976blattodea
Blattodea,Blaberidae,Lanxoblatta,Lanxoblatta_emarginata,,XO,,66,65,white1976blattodea
Blattodea,Blattellidae,Loboptera,Loboptera_decipiens,,XO,,34,33,white1976blattodea
Orthoptera,Acrididae,Dichroplus,Dichroplus_silveiraguidoi,,XY,,8,8,mesa1982cariologia
Mantodea,Mantidae,Sphodromantis,Sphodromantis_sp,,complex XY,XXY,28,27,white1976blattodea
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_primus,gonochorous,,,30,NA,luykx1990cytogenetic
Embiidina,Oligotomidae,Oligotoma,Oligotoma_sp,,XO,,20,19,white1976blattodea
Blattodea,Blattellidae,Lobopterella,Lobopterella_dimidiatipes,,XO,,38,37,white1976blattodea
Isoptera,Kalotermitidae,Cryptotermes,Cryptotermes_austrinus,gonochorous,,,40,40,luykx1990cytogenetic
Plecoptera,Perlidae,Calineuria,Calineuria_sp,,XO,,26,25,itoh1933sex
