Species,Chromosomes,Sex System,sim.states,,,Transltion table,,
Drosophila_acanthoptera,5,XY,3,,,1,XY,3
Drosophila_affinis,5,XY,3,,,2,,4
Drosophila_albomicans,3,Neo,5,,,3,,5
Drosophila_algonquin,5,XY,3,,,4,,6
Drosophila_ambigua,5,XY,3,,,5,neoXY,3
Drosophila_ananassae,4,XY,2,,,6,,4
Drosophila_anceps,6,XY,4,,,7,,5
Drosophila_arawakana,4,XY,2,,,8,,6
Drosophila_atripex,4,XY,2,,,,,
Drosophila_auraria,4,XY,2,,,,,
Drosophila_azteca,5,XY,3,,,,,
Drosophila_baimaii,4,XY,2,,,,,
Drosophila_barbarae,4,XY,2,,,,,
Drosophila_biauraria,3,XY,1,,,,,
Drosophila_bicornuta,4,XY,2,,,,,
Drosophila_bifasciata,5,XY,3,,,,,
Drosophila_bipectinata,4,XY,2,,,,,
Drosophila_birchii,4,XY,2,,,,,
Drosophila_borealis,6,XY,4,,,,,
Drosophila_bromeliae,4,XY,2,,,,,
Drosophila_busckii,4,Neo,6,,,,,
Drosophila_buzzatii,6,XY,4,,,,,
Drosophila_capricorni,3,XY,1,,,,,
Drosophila_cardini,6,XY,4,,,,,
Drosophila_dunni,5,XY,3,,,,,
Drosophila_elegans,5,XY,3,,,,,
Drosophila_emarginata,3,XY,1,,,,,
Drosophila_eohydei,6,XY,4,,,,,
Drosophila_equinoxialis,3,XY,1,,,,,
Drosophila_ercepeae,4,XY,2,,,,,
Drosophila_erecta,4,XY,2,,,,,
Drosophila_eugracilis,3,XY,1,,,,,
Drosophila_euronotus,5,Neo,7,,,,,
Drosophila_ezoana,6,XY,4,,,,,
Drosophila_ficusphila,4,XY,2,,,,,
Drosophila_flavomontana,6,XY,4,,,,,
Drosophila_funebris,6,XY,4,,,,,
Drosophila_greeni,4,XY,2,,,,,
Drosophila_guttifera,6,XY,4,,,,,
Drosophila_hydei,6,XY,4,,,,,
Drosophila_hypocausta,4,XY,2,,,,,
Drosophila_immigrans,4,XY,2,,,,,
Drosophila_jambulina,4,XY,2,,,,,
Drosophila_kanapiae,3,XY,1,,,,,
Drosophila_kanekoi,6,XY,4,,,,,
Drosophila_kepulauana,4,XY,2,,,,,
Drosophila_kikkawai,4,XY,2,,,,,
Drosophila_kohkoa,4,XY,2,,,,,
Drosophila_lacertosa,6,Neo,8,,,,,
Drosophila_lacicola,6,XY,4,,,,,
Drosophila_lacteicornis,4,XY,2,,,,,
Drosophila_limensis,6,XY,4,,,,,
Drosophila_littoralis,5,XY,3,,,,,
Drosophila_lucipennis,3,XY,1,,,,,
Drosophila_lummei,6,XY,4,,,,,
Drosophila_lutescens,4,XY,2,,,,,
Drosophila_malerkotliana,4,XY,2,,,,,
Drosophila_mauritiana,4,XY,2,,,,,
Drosophila_mayri,4,XY,2,,,,,
Drosophila_mediopictoides,6,XY,4,,,,,
Drosophila_melanica,5,Neo,7,,,,,
Drosophila_melanogaster,4,XY,2,,,,,
Drosophila_mercatorum,5,XY,3,,,,,
Drosophila_micromelanica,5,XY,3,,,,,
Drosophila_mimetica,4,XY,2,,,,,
Drosophila_miranda,5,Neo,7,,,,,
Drosophila_mojavensis,6,XY,4,,,,,
Drosophila_montana,6,XY,4,,,,,
Drosophila_mulleri,6,XY,4,,,,,
Drosophila_nannoptera,5,XY,3,,,,,
Drosophila_narragansett,5,XY,3,,,,,
Drosophila_nasuta,4,XY,2,,,,,
Drosophila_nebulosa,4,XY,2,,,,,
Drosophila_neocordata,3,XY,1,,,,,
Drosophila_neohypocausta,3,XY,1,,,,,
Drosophila_nikananu,4,XY,2,,,,,
Drosophila_novamexicana,6,XY,4,,,,,
Drosophila_ornatifrons,6,XY,4,,,,,
Drosophila_orosa,3,XY,1,,,,,
Drosophila_pachea,4,XY,2,,,,,
Drosophila_pallidipennis,6,XY,4,,,,,
Drosophila_pallidosa,4,XY,2,,,,,
Drosophila_palustris,6,XY,4,,,,,
Drosophila_parabipectinata,4,XY,2,,,,,
Drosophila_paralutea,3,XY,1,,,,,
Drosophila_paramelanica,5,Neo,7,,,,,
Drosophila_paulistorum,3,XY,1,,,,,
Drosophila_persimilis,5,Neo,7,,,,,
Drosophila_phaeopleura,4,XY,2,,,,,
Drosophila_phalerata,6,XY,4,,,,,
Drosophila_polychaeta,6,XY,4,,,,,
Drosophila_polymorpha,4,XY,2,,,,,
Drosophila_prostipennis,3,XY,1,,,,,
Drosophila_pseudoananassae,5,XY,3,,,,,
Drosophila_pseudoobscura,5,Neo,7,,,,,
Drosophila_pseudotakahashii,4,XY,2,,,,,
Drosophila_pseudotalamancana,5,XY,3,,,,,
Drosophila_punjabiensis,4,XY,2,,,,,
Drosophila_quadraria,3,XY,1,,,,,
Drosophila_repleta,6,XY,4,,,,,
Drosophila_robusta,4,Neo,6,,,,,
Drosophila_rubida,4,XY,2,,,,,
Drosophila_rufa,4,XY,2,,,,,
Drosophila_sechellia,4,XY,2,,,,,
Drosophila_seguyi,4,XY,2,,,,,
Drosophila_serrata,4,XY,2,,,,,
Drosophila_simulans,4,XY,2,,,,,
Drosophila_sordidula,5,Neo,7,,,1,XY,3
Drosophila_subpalustris,6,XY,4,,,2,,4
Drosophila_sucinea,3,XY,1,,,3,,5
Drosophila_suzukii,4,XY,2,,,4,,6
Drosophila_takahashii,4,XY,2,,,5,neoXY,3
Drosophila_teissieri,4,XY,2,,,6,,4
Drosophila_tolteca,5,XY,3,,,7,,5
Drosophila_triauraria,3,XY,1,,,8,,6
Drosophila_tsacasi,4,XY,2,,,,,
Drosophila_varians,4,XY,2,,,,,
Drosophila_virilis,6,XY,4,,,,,
Drosophila_vulcana,4,XY,2,,,,,
Drosophila_willistoni,3,Neo,5,,,,,
Drosophila_yakuba,4,XY,2,,,,,
