Order,Family,Genus,species,female2n,male2n,Sexual.system,sex.chromosome.system,"notes, comments",Where found
Afrosoricida,Chrysochloridae,Chlorotalpa,duthieae,30,30,,XY,,
Afrosoricida,Chrysochloridae,Chlorotalpa,sclateri,30,30,,XY,,
Afrosoricida,Chrysochloridae,Amblysomus,julianae,31,31,,XY,,
Afrosoricida,Chrysochloridae,Amblysomus,iris,34,34,,XY,,
Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,30,30,,XY,,
Afrosoricida,Tenrecidae,Microgale,dobsoni,30,30,,XY,,
Afrosoricida,Tenrecidae,Hemicenttes,nigriceps,38,38,,XY,,
Afrosoricida,Tenrecidae,Echinops,telfairi,40,40,,XY,,
Carnivora,Canidae,Alopex,lagopus,50,50,gonochorous,XY,,Blackmon
Carnivora,Canidae,Atelocynus ,microtis,74,74,gonochorous,XY,,Blackmon
Carnivora,Canidae,Canis,familiaris,78,78,gonochorous,XY,,Blackmon
Carnivora,Canidae,Canis,latrans,78,78,gonochorous,XY,,Blackmon
Carnivora,Canidae,Lycaon,pictus,38,38,gonochorous,XY,,Blackmon
Carnivora,Canidae,Nyctereutes,procyonoides,42,42,gonochorous,XY,,Blackmon
Carnivora,Canidae,Otocyon ,megalotis,72,72,gonochorous,XY,,Blackmon
Carnivora,Canidae,Urocyon,cinereoargenteus,66,66,gonochorous,XY,,Blackmon
Carnivora,Canidae,Vulpes,vulpes,36,36,gonochorous,XY,,Blackmon
Carnivora,Canidae,Vulpes ,fulva,34,34,gonochorous,XY,,Blackmon
Carnivora,Felidae,Acinonyx,jubatus,38,38,gonochorous,XY,,Blackmon
Carnivora,Felidae,Felis,bengalensis,38,38,gonochorous,XY,,Blackmon
Carnivora,Felidae,Felis,catus,38,38,gonochorous,XY,,Blackmon
Carnivora,Felidae,Felis,concolor,38,38,gonochorous,XY,,Blackmon
Carnivora,Felidae,Felis,geoffroyi,36,36,gonochorous,XY,,Blackmon
Carnivora,Felidae,Felis,manul,38,38,gonochorous,XY,,Blackmon
Carnivora,Felidae,Felis,marmorata,38,38,gonochorous,XY,,Blackmon
Carnivora,Felidae,Felis,nigripes,38,38,gonochorous,XY,,Blackmon
