Order,Family,Genus,species,female2n,male2n,Sexual.system,sex.chromosome.system,"notes, comments",Where found
Carnivora,Felidae,Felis,pardalis,36,36,gonochorous,XY,,Blackmon
Carnivora,Felidae,Felis,serval,38,38,gonochorous,XY,,Blackmon
Carnivora,Felidae,Felis,silvestris,38,38,gonochorous,XY,,Blackmon
Carnivora,Felidae,Felis,viverrina,38,38,gonochorous,XY,,Blackmon
Carnivora,Felidae,Felis,wiedi,36,36,gonochorous,XY,,Blackmon
Carnivora,Felidae,Felis,yagouaroundi,38,38,gonochorous,XY,,Blackmon
Carnivora,Felidae,Felis ,lynx ,38,38,gonochorous,XY,,Blackmon
Carnivora,Felidae,Lynx ,rufus,38,38,gonochorous,XY,,Blackmon
Carnivora,Felidae,Panthera,pardus,38,38,gonochorous,XY,,Blackmon
Carnivora,Felidae,Panthera,tigris,38,38,gonochorous,XY,,Blackmon
Carnivora,Felidae,Uncia ,uncia,38,38,gonochorous,XY,,Blackmon
Carnivora,Herpestidae,Herpestes,auropunctatus,36,35,gonochorous,complex XY,X1X2Y,Blackmon
Carnivora,Hyaenidae,Proteles ,cristatus,40,40,gonochorous,XY,,Blackmon
Carnivora,Hyenidae,Crocuta,crocuta,40,40,gonochorous,XY,,Blackmon
Carnivora,Hyenidae,Hyaena,brunnea,40,40,gonochorous,XY,,Blackmon
Carnivora,Mustelidae,Amblonyx ,cinerea,38,38,gonochorous,XY,,Blackmon
Carnivora,Mustelidae,Eira,barbara,38,38,gonochorous,XY,,Blackmon
Carnivora,Mustelidae,Enhydra,lutris,38,38,gonochorous,XY,,Blackmon
Carnivora,Mustelidae,Gulo,gulo,42,42,gonochorous,XY,,Blackmon
Carnivora,Mustelidae,Martes ,americana,38,38,gonochorous,XY,,Blackmon
Carnivora,Mustelidae,Melogale ,moschata,38,38,gonochorous,XY,,Blackmon
Carnivora,Mustelidae,Mephitis ,mephitis,50,50,gonochorous,XY,,Blackmon
Carnivora,Mustelidae,Mustela,erminea,44,44,gonochorous,XY,,Blackmon
Carnivora,Mustelidae,Mustela,frenata,42,42,gonochorous,XY,,Blackmon
Carnivora,Mustelidae,Mustela,vison,30,30,gonochorous,XY,,Blackmon
Carnivora,Mustelidae,Mustela ,putorius furo,40,40,gonochorous,XY,,Blackmon
Carnivora,Mustelidae,Mustele ,altaika,44,44,gonochorous,XY,,Blackmon
Carnivora,Mustelidae,Spilogale ,putorius,64,64,gonochorous,XY,,Blackmon
Carnivora,Mustelidae,Taxidea,taxus,32,32,gonochorous,XY,,Blackmon
Carnivora,Procyonidae,Ailurus ,fulgens,36,36,gonochorous,XY,,Blackmon
Carnivora,Procyonidae,Bassariscus,astutus,38,38,gonochorous,XY,,Blackmon
Carnivora,Procyonidae,Nasua ,nasua,38,38,gonochorous,XY,,Blackmon
Carnivora,Procyonidae,Potos ,flavus,38,38,gonochorous,XY,,Blackmon
Carnivora,Procyonidae,Procyon ,lotor,38,38,gonochorous,XY,,Blackmon
Carnivora,Ursidae,Helarctos ,malayanus,74,74,gonochorous,XY,,Blackmon
Carnivora,Ursidae,Selenarctos,thibetanus,74,74,gonochorous,XY,,Blackmon
Carnivora,Ursidae,Ursus ,americanus,74,74,gonochorous,XY,,Blackmon
Carnivora,Viverridae,Actictis ,binturong,42,42,gonochorous,XY,,Blackmon
Carnivora,Viverridae,Arctogalidia ,trivirgata stigmatica,40,40,gonochorous,XY,,Blackmon
Carnivora,Viverridae,Atilax,paludinosus,36,36,gonochorous,XY,,Blackmon
Carnivora,Viverridae,Bdeogale,sp.,36,36,gonochorous,XY,,Blackmon
Carnivora,Viverridae,Fossa,fossa,42,42,gonochorous,XY,,Blackmon
Carnivora,Viverridae,Genetta ,genetta neumanni,52,52,gonochorous,XY,,Blackmon
Carnivora,Viverridae,Paradoxurus,hermaphroditicus,42,42,gonochorous,XY,,Blackmon
Carnivora,Viverridae,Prionodon,linsang,34,34,gonochorous,XY,,Blackmon
Carnivora,Viverridae,Suricata,suricatta,36,36,gonochorous,XY,,Blackmon
Carnivora,Viverridae,Viverricula,indica,36,36,gonochorous,XY,,Blackmon
Carnivora,Otariidae,Eumetopias,jubata,36,36,gonochorous,XY,,Blackmon
Carnivora,Otariidae,Zalophus,californianus,36,36,gonochorous,XY,,Blackmon
Carnivora,Otariidae,Callorhinus ,ursinus,36,36,gonochorous,XY,,Blackmon
Carnivora,Phocidae,Cystophora,cristata,34,34,gonochorous,XY,,Blackmon
Carnivora,Phocidae,Erignathus,barbatus,34,34,gonochorous,XY,,Blackmon
Carnivora,Phocidae,Halichoerus,grypus,32,32,gonochorous,XY,,Blackmon
Carnivora,Phocidae,Pagophilus,groenlandicus,32,32,gonochorous,XY,,Blackmon
Carnivora,Phocidae,Phoca,vitulina,32,32,gonochorous,XY,,Blackmon
Carnivora,Phocidae,Pusa,hispida,32,32,gonochorous,XY,,Blackmon
Cetacea,Balaenopteridae,Balaenoptera,acutorostrata,44,44,gonochorous,XY,,Blackmon
Cetacea,Balaenopteridae,Balaenoptera,borealis,44,44,gonochorous,XY,,Blackmon
Cetacea,Balaenopteridae,Balaenoptera,physalus,44,44,gonochorous,XY,,Blackmon
Cetacea,Delphinidae,Delphinus ,bairdii,44,44,gonochorous,XY,,Blackmon
Cetacea,Delphinidae,Orcinus,orca,44,44,gonochorous,XY,,Blackmon
Cetacea,Delphinidae,Tursiops,truncatus,44,44,gonochorous,XY,,Blackmon
Cetacea,Phocoenidae,Phocoena,phocoena,44,44,gonochorous,XY,,Blackmon
Cetacea,Physeteridae,Kogia,breviceps,42,42,gonochorous,XY,,Blackmon
Cetacea,Physeteridae,Physeter,catodon,42,42,gonochorous,XY,,Blackmon
Cetartiodactyla,Antilocapridae,Antilocapra ,americana,58,58,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Aepyceros,melampus,60,60,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Alcephalus,busephalus,40,40,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Ammotragus,lervia,58,58,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Anoa ,depressicornis depressicornis,48,48,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Antidorcas,marsupialis,56,56,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Bison,bison,60,60,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Bos,indicus,60,60,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Bos,taurus,60,60,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Boselaphus,tragocamelus,46,46,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Bubalus,bubalis,50,50,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Bubalus ,bubalis,50,50,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Capra,hircus,60,60,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Capra,ibex,60,60,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Capricornis ,crispus,50,50,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Cephalophus,silvicultor,60,60,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Connochates,taurinus,58,58,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Connochates ,gnou,58,58,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Damaliscus,dorcas phillipsi,38,38,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Gazella,dorcas,30,31,gonochorous,complex XY,XY1Y2,Blackmon
Cetartiodactyla,Bovidae,Gazella,gazella,34,35,gonochorous,complex XY,XY1Y2,Blackmon
Cetartiodactyla,Bovidae,Gazella,granti,30,31,gonochorous,complex XY,XY1Y2,Blackmon
Cetartiodactyla,Bovidae,Gazella,leptoceros,32,33,gonochorous,complex XY,XY1Y2,Blackmon
Cetartiodactyla,Bovidae,Gazella,spekei,32,33,gonochorous,complex XY,XY1Y2,Blackmon
Cetartiodactyla,Bovidae,Gazella,subgutturosa,30,31,gonochorous,complex XY,XY1Y2,Blackmon
Cetartiodactyla,Bovidae,Gazella,thomsoni,58,58,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Hemitragus,jemlahicus,48,48,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Hippotragus ,miger,60,60,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Kobus ,kob,50,50,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Naemorhedus,goral,55,55,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Oreamnos,americanus,42,42,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Oryx,gazella gazella,56,56,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Ovibos ,moschatus,48,48,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Ovis,aries,54,54,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Ovis,orientalis,54,54,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Ovis ,ammon nigrimontana,56,56,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Rupricapra,rupicapra,58,58,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Syncerus,caffer,52,52,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Tragelaphus,strepsiceros strepsiceros,32,31,gonochorous,complex XY,X1X2Y,Blackmon
Cetartiodactyla,Camelidae,Camelus,bactrianus,74,74,gonochorous,XY,,Blackmon
Cetartiodactyla,Camelidae,Vicugna,vicugna,74,74,gonochorous,XY,,Blackmon
Cetartiodactyla,Cervidae,Alces,alces,68,68,gonochorous,XY,,Blackmon
Cetartiodactyla,Cervidae,Axis,axis,66,66,gonochorous,XY,,Blackmon
Cetartiodactyla,Cervidae,Capreolus,capreolus,70,70,gonochorous,XY,,Blackmon
Cetartiodactyla,Cervidae,Cervus,elaphus,68,68,gonochorous,XY,,Blackmon
Cetartiodactyla,Cervidae,Cervus,unicolor,58,58,gonochorous,XY,,Blackmon
Cetartiodactyla,Cervidae,Cevus,duvauceli,56,56,gonochorous,XY,,Blackmon
Cetartiodactyla,Cervidae,Dama,dama,68,68,gonochorous,XY,,Blackmon
Cetartiodactyla,Cervidae,Elaphurus,davidianus,68,68,gonochorous,XY,,Blackmon
Cetartiodactyla,Cervidae,Hydropotes,inermis,70,70,gonochorous,XY,,Blackmon
Cetartiodactyla,Cervidae,Muntiacus,muntjak,6,7,gonochorous,complex XY,XY1Y2,Blackmon
Cetartiodactyla,Cervidae,Muntiacus,reevesi,46,46,gonochorous,XY,,Blackmon
Cetartiodactyla,Cervidae,Odocoileus,hemionus,70,70,gonochorous,XY,,Blackmon
Cetartiodactyla,Cervidae,Odocoileus,virginianus,70,70,gonochorous,XY,,Blackmon
Cetartiodactyla,Cervidae,Pudu,puda,70,70,gonochorous,XY,,Blackmon
Cetartiodactyla,Cervidae,Rangifer,tarandus,70,70,gonochorous,XY,,Blackmon
Cetartiodactyla,Giraffidae,Giraffa,camelopardis,30,30,gonochorous,XY,,Blackmon
Cetartiodactyla,Giraffidae,Okapia ,johnstoni,45,45,gonochorous,XY,,Blackmon
Cetartiodactyla,Suidae,Sus,scrofa,36,36,gonochorous,XY,,Blackmon
Cetartiodactyla,Tayassuidae,Tayassu,albirostris,26,26,gonochorous,XY,,Blackmon
Cetartiodactyla,Tayassuidae,Tayassu,tajacu,30,30,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Tetracerus,quatricornis,38,38,gonochorous,XY,,Blackmon
Cetartiodactyla,Bovidae,Tragelaphus,spekii,30,30,gonochorous,XY,,Blackmon
Chiroptera,Desmodontidae,Desmodus,rotundus murius,28,28,gonochorous,XY,,Blackmon
Chiroptera,Emballonuridae,Taphozous,longimanus,42,42,gonochorous,XY,,Blackmon
Chiroptera,Molossidae,Tadarida,brasiliensis,48,48,gonochorous,XY,,Blackmon
Chiroptera,Mormoopidae,Pteronotus,parnelii,38,38,gonochorous,XY,,Blackmon
Chiroptera,Natalidae,Natalus,tumidirostris,36,36,gonochorous,XY,,Blackmon
Chiroptera,Noctilionidae,Noctilio ,albiventris,34,34,gonochorous,XY,,Blackmon
Chiroptera,Phyllostomatidae,Carollia,castanea,20,20,gonochorous,XY,,Blackmon
Chiroptera,Phyllostomatidae,Chiroderma,villosum,26,26,gonochorous,XY,,Blackmon
Chiroptera,Phyllostomatidae,Glossophaga,soricina,32,32,gonochorous,XY,,Blackmon
Chiroptera,Phyllostomatidae,Mesophylla,macconelli,22,22,gonochorous,XY,,Blackmon
Chiroptera,Phyllostomatidae,Mimon,crenulatum,32,32,gonochorous,XY,,Blackmon
Chiroptera,Phyllostomatidae,Rhinophyla,pumilio,36,36,gonochorous,XY,,Blackmon
Chiroptera,Phyllostomatidae,Sturnina,lilium,30,30,gonochorous,XY,,Blackmon
Chiroptera,Phyllostomatidae,Uroderma,bilobatum,44,44,gonochorous,XY,,Blackmon
Chiroptera,Phyllostomidae,Artibeus,jamaicensis,30,31,gonochorous,complex XY,XY1Y2,Blackmon
Chiroptera,Phyllostomidae,Artibeus,lituratus,30,31,gonochorous,complex XY,XY1Y2,Blackmon
Chiroptera,Phyllostomidae,Artibeus,toltecus,30,31,gonochorous,complex XY,XY1Y2,Blackmon
Chiroptera,Phyllostomidae,Carolia,perspicillata,20,21,gonochorous,complex XY,XY1Y2,Blackmon
Chiroptera,Phyllostomidae,Carollia,subrufa,20,21,gonochorous,complex XY,XY1Y2,Blackmon
Chiroptera,Phyllostomidae,Choeroniscus,godmani,20,19,gonochorous,complex XY,X1X2Y,Blackmon
Chiroptera,Phyllostomidae,Mesophylla,macconnelli,22,21,gonochorous,complex XY,X1X2Y,Blackmon
Chiroptera,Phyllostomidae,Uriderma ,magnirostrum,36,36,gonochorous,XY,,Blackmon
Chiroptera,Pteropodidae,Pteropus ,giganteus,38,38,gonochorous,XY,,Blackmon
Chiroptera,Pteropodidae,Rousettus ,leschenaulti,36,36,gonochorous,XY,,Blackmon
Chiroptera,Vespertilionidae,Antrozous,pallidus,46,46,gonochorous,XY,,Blackmon
Chiroptera,Vespertilionidae,Eptesicus,fuscus,50,50,gonochorous,XY,,Blackmon
Chiroptera,Vespertilionidae,Lasiurus,seminolus,28,28,gonochorous,XY,,Blackmon
Chiroptera,Vespertilionidae,Lasiurus ,intermedius,26,26,gonochorous,XY,,Blackmon
Chiroptera,Vespertilionidae,Myotis,grisescens,44,44,gonochorous,XY,,Blackmon
Chiroptera,Vespertilionidae,Myotis,macrodactylus,44,44,gonochorous,XY,,Blackmon
Chiroptera,Vespertilionidae,Myotis,velifer,44,44,gonochorous,XY,,Blackmon
Chiroptera,Vespertilionidae,Nycticeius,humeralis,46,46,gonochorous,XY,,Blackmon
Chiroptera,Vespertilionidae,Pipistrellus ,affinis,36,36,gonochorous,XY,,Blackmon
Chiroptera,Vespertilionidae,Pispitrellus,subflavus,30,30,gonochorous,XY,,Blackmon
Chiroptera,Vespertilionidae,Pispitrellus ,mimus,38,38,gonochorous,XY,,Blackmon
Dasyuromorphia,Dasyuridae,Antechinus,flavipes,14,14,,XY,,
Dasyuromorphia,Dasyuridae,Planigale,maculata,14,14,,XY,,
Dasyuromorphia,Dasyuridae,Sminthopsis ,crassicaudata,14,14,,XY,,
Dasyuromorphia,Dasyuridae,Antechinomys,laniger,14,14,,XY,,
Dasyuromorphia,Dasyuridae,Dasyuroides,byrnei,14,14,,XY,,
Dasyuromorphia,Dasyuridae,Dasyurus,hallucatus,14,14,,XY,,
Dasyuromorphia,Dasyuridae,Dasyurus,viverrinus,14,14,,XY,,
Dasyuromorphia,Dasyuridae,Dasyurus,maculatus,14,14,,XY,,
Dasyuromorphia,Dasyuridae,Sarcophilus,harrisii,14,14,,XY,,
Dermoptera,Cynocephalidae,Cynocephalus ,variegatus,56,56,gonochorous,XY,,Blackmon
Didelphimorphia,Caluromyidae,Caluromys,lanatus,14,14,,XY,,
Didelphimorphia,Didelphidae,Philander,opossum,22,22,,XY,,
Didelphimorphia,Didelphidae,Didelphis,marsupialis,22,22,,XY,,
Didelphimorphia,Didelphidae,Didelphis,virginiana,22,22,,,,
Didelphimorphia,Marmosidae,Marmosa,sp.,14,14,,XY,,
Didelphimorphia,Marmosidae,Marmosops,incanus,14,14,,XY,,
Didelphimorphia,Marmosidae,Metachirus,nudicaudatus,14,14,,XY,,
Didelphimorphia,Marmosidae,Micoureus,demerarae,14,14,,XY,,
Didelphimorphia,Marmosidae,Thylamys,elegans,14,14,,XY,,
Didelphimorphia,Marmosidae,Monodelphis,domestica,18,18,,XY,,
Diprodontia,Phascolarctidae,Phascolarctos,cinereus,16,16,,XY,,
Diprodontia,Vombatidae,Vombatus,ursinus,14,14,,XY,,
Diprodontia,Vombatidae,Lasiorhinus,latifrons,14,14,,XY,,
Diprodontia,Phalangeridae,Trichosurus,vulpecula,20,20,,XY,,
Diprodontia,Potoroidae,Potorous,tridactylus,12,12,,XY,,
Diprodontia,Macropodidae,Thylogale,billardierii,22,22,,XY,,
Diprodontia,Macropodidae,Thylogale,thetis,22,22,,XY,,
Diprodontia,Macropodidae,Petrogale,xanthopus celeris,22,22,,XY,,
Diprodontia,Macropodidae,Petrogale,xanthopus xanthopus,22,22,,XY,,
Diprodontia,Macropodidae,Petrogale,lateralis,22,22,,XY,,
Diprodontia,Macropodidae,Petrogale,penicillata,22,22,,XY,,
Diprodontia,Macropodidae,Petrogale,concinna,16,16,,XY,,
Diprodontia,Macropodidae,Petrogale,brachyotis,20,20,,XY,,
Diprodontia,Macropodidae,Wallabia,bicolor,10,11,,complete XY,X1Y1Y2,
Diprodontia,Macropodidae,Macropus,parma,16,16,,XY,,
Diprodontia,Macropodidae,Macropus,rufogriseus,16,16,,XY,,
Diprodontia,Macropodidae,Macropus,eugenii,16,26,,XY,,
Diprodontia,Macropodidae,Macropus,parryi,16,16,,XY,,
Diprodontia,Macropodidae,Macropus,giganteus,16,16,,XY,,
Diprodontia,Macropodidae,Macropus,fuliginosus,16,16,,XY,,
Diprodontia,Macropodidae,Macropus,robustus,16,16,,XY,,
Diprodontia,Macropodidae,Macropus,rufus,20,20,,XY,,
Diprodontia,Burramyidae,Cercartetus,concinnus,14,14,,XY,,
Diprodontia,Pseudocheiridae,Pseudocheirus,peregrinus,20,20,,XY,,
Diprodontia,Pseudocheiridae,Petropseudes,dahli,16,16,,XY,,
Diprodontia,Pseudocheiridae,Hemibelideus,lemuroides,20,20,,XY,,
Diprodontia,Petauridae,Petaurus,norfolcensis,21,21,,XY,,
Diprodontia,Tarsipedidae,Tarsipes,rostratus,24,24,,XY,,
Diprodontia,Acrobatidae,Acrobates,pygmaeus,14,14,,XY,,
Hyracidea,Procaviidae,Procavia,capensis,54,54,,XY,,
Insectivora,Soricidae,Motiosorex ,crawfordi,68,68,gonochorous,XY,,Blackmon
Insectivora,Soricidae,Neomys,fodiens,52,52,gonochorous,XY,,Blackmon
Insectivora,Soricidae,Sorex,caecutiens,42,42,gonochorous,XY,,Blackmon
Insectivora,Soricidae,Suncus,murinus,40,40,gonochorous,XY,,Blackmon
Insectivora,Talpidae,Talpa,europaea,34,34,gonochorous,XY,,Blackmon
Insectivora,Tenrecidae,Microgale,dobsoni,30,30,gonochorous,XY,,Blackmon
Insectivora,Tenrecidae,Tenrec,eucadatus,38,38,gonochorous,XY,,Blackmon
Lagomorpha,Leporidae,Lepus,americanus,48,48,gonochorous,XY,,Blackmon
Lagomorpha,Leporidae,Lepus ,alleni alleni,48,48,gonochorous,XY,,Blackmon
Lagomorpha,Leporidae,Lepus ,californicus eremicus,48,48,gonochorous,XY,,Blackmon
Lagomorpha,Leporidae,Lepus ,townsendii,48,48,gonochorous,XY,,Blackmon
Lagomorpha,Leporidae,Oryctolagus,cuniculus,44,44,gonochorous,XY,,Blackmon
Lagomorpha,Leporidae,Romerolagus ,diazi,48,48,gonochorous,XY,,Blackmon
Lagomorpha,Leporidae,Sylvilagus,floridanus,42,42,gonochorous,XY,,Blackmon
Lagomorpha,Ochotonidae,Ochotona,rufescene rufescens,60,60,gonochorous,XY,,Blackmon
Lagomorpha,Ochotonidae,Ochotona ,hyperborea,40,40,gonochorous,XY,,Blackmon
Macroscelidea,Macroscelididae,Macroscelides,proboscideus,26,26,,XY,,
Marsupialia,Dasyuroidea,Dasyurops,maculatus,14,14,gonochorous,XY,,Blackmon
Marsupialia,Dasyuroidea,Smithopis,crassicaudata,14,14,gonochorous,XY,,Blackmon
Marsupialia,Didelphidae,Caluromys,derbianus,14,14,gonochorous,XY ,,Blackmon
Marsupialia,Didelphidae,Chironectes ,panamensis,22,22,gonochorous,XY,,Blackmon
Marsupialia,Didelphidae,Didelphys,albiventris,22,22,gonochorous,XY,,Blackmon
Marsupialia,Didelphidae,Didelphys,marsupialis,22,22,gonochorous,XY,,Blackmon
Marsupialia,Didelphidae,Lutreolina,crassicaudata,22,22,gonochorous,XY,,Blackmon
Marsupialia,Didelphidae,Marmosa,alstoni,14,14,gonochorous,XY,,Blackmon
Marsupialia,Didelphidae,Marmosa,murina,14,14,gonochorous,XY,,Blackmon
Marsupialia,Didelphidae,Marmosa,pusilla,14,14,gonochorous,XY,,Blackmon
Marsupialia,Didelphidae,Marmosa,robinsoni,14,14,gonochorous,XY,,Blackmon
Marsupialia,Didelphidae,Monodelphis,brevicaudata,18,18,gonochorous,XY,,Blackmon
Marsupialia,Didelphidae,Philander,opossum,22,22,gonochorous,XY,,Blackmon
Marsupialia,Macropodidae,Macropus,rufus,20,20,gonochorous,XY,,Blackmon
Marsupialia,Macropodidae,Wallabia ,eugenii,16,16,gonochorous,XY,,Blackmon
Marsupialia,Perameloidea,Perameles,nasuta,14,14,gonochorous,XY,,Blackmon
Marsupialia,Phalangeridae,Trichosurus ,vulpecula,20,20,gonochorous,XY,,Blackmon
Microbiotheria,Microbiotheriidae,Dromiciops,australis,14,13,,XO,,
Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,52,52,gonochorous,complex XY,X1X2X3X4X5Y1Y2Y3Y4Y5,Blackmon
Monotremata,Tachyglossidae,Tachyglossus,aculeatus,64,63,gonochorous,complex XY,X1X2X3X4X5Y1Y2Y3Y4,Blackmon
Monotremata,Tachyglossidae,Zaglossus ,bruijni,64,63,,complex XY,X1X2X3X4X5Y1Y2Y3Y4O,
Notoryctemorphia,Notoryctidae,Notoryctes,typhlops,20,20,,XY,,
Paucituberculata,Caenolestidae,Rhyncholestes,raphanurus,14,14,,XY,,
Peramelemorphia,Thylacomyidae,Macrotis,lagotis,18,19,,complete XY,X1X2Y1Y2,
Peramelemorphia,Peramelidae,Isoodon,obesulus,14,14,,XY,,
Peramelemorphia,Peramelidae,Perameles,nasuta,14,14,,XY,,
Perissodactyla,Equidae,Eqqus,asinus,62,62,gonochorous,XY,,Blackmon
Perissodactyla,Equidae,Eqqus,caballus,64,64,gonochorous,XY,,Blackmon
Perissodactyla,Equidae,Eqqus,grevyi,46,46,gonochorous,XY,,Blackmon
Perissodactyla,Equidae,Eqqus,prewalskii,66,66,gonochorous,XY,,Blackmon
Perissodactyla,Equidae,Eqqus,zebra,32,32,gonochorous,XY,,Blackmon
Perissodactyla,Equidae,Eqqus ,prewalskii,44,44,gonochorous,XY,,Blackmon
Perissodactyla,Equidae,Equus,hemionus onager,56,56,gonochorous,XY,,Blackmon
Perissodactyla,Rhinocerotidae,Ceratotherium,simum,82,82,gonochorous,XY,,Blackmon
Perissodactyla,Rhinocerotidae,Rhinoceros,unicornis,82,82,gonochorous,XY,,Blackmon
Perissodactyla,Tapiridae,Tapirus ,terrestris,80,80,gonochorous,XY,,Blackmon
Pilosa,Megalonychidae,Choloepus,hoffmanni,49,49,gonochorous,complex XY,X1X2Y,Blackmon
Primates,Aotidae,Aotus,azarae,50,49,gonochorous,complex XY,X1X2Y,Blackmon
Primates,Aotidae,Aotus,boliviensis,50,49,gonochorous,complex XY,X1X2Y,Blackmon
Primates,Aotidae,Aotus,inflatus,50,49,gonochorous,complex XY,X1X2Y,Blackmon
Primates,Aotidae,Aotus,sp.,50,49,gonochorous,complex XY,X1X2Y,Blackmon
Primates,Aotidae,Aotus,trivirgatus,54,54,gonochorous,XY,,Blackmon
Primates,Atelidae,Alouatta,belzebul,50,49,gonochorous,complex XY,X1X2Y,Blackmon
Primates,Atelidae,Alouatta,fusca,50,49,gonochorous,complex XY,X1X2Y,Blackmon
Primates,Atelidae,Alouatta,palliata,54,53,gonochorous,complex XY,X1X2Y,Blackmon
Primates,Callithricidae,Tamarinus ,mystax,46,46,gonochorous,XY,,Blackmon
Primates,Callithricidae,Tamarinus ,nigricollis,46,46,gonochorous,XY,,Blackmon
Primates,Callitrichidae,Callimico,goeldii,48,47,gonochorous,complex XY,X1X2Y,Blackmon
Primates,Callitrichidae,Callithrix,argentata,44,44,gonochorous,XY,,Blackmon
Primates,Callitrichidae,Callithrix,humeralifer,46,46,gonochorous,XY,,Blackmon
Primates,Callitrichidae,Callithrix,jacchus,46,46,gonochorous,XY,,Blackmon
Primates,Callitrichidae,Callithrix,pygmaea,44,44,gonochorous,XY,,Blackmon
Primates,Callitrichidae,Leontopithecus,rosalia,46,46,gonochorous,XY,,Blackmon
Primates,Callitrichidae,Saguinus,fusicollis,46,46,gonochorous,XY,,Blackmon
Primates,Callitrichidae,Saguinus,oedipus,46,46,gonochorous,XY,,Blackmon
Primates,Cebidae,Ateles,geoffroyi,34,34,gonochorous,XY,,Blackmon
