Order,Family,Genus,species,female2n,male2n,B chromosomes,sex.chromosome.system,"notes, comments",Source,Study,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Odocoileus,hemionus,70,70,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Odocoileus,virginianus,70,70,,XY,,Blackmon,Duarte (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Ozotoceros,bezoarticus,68,68,,XY,,Animal Karyotype Book 2020,Duarte and Giannoni 1995b,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Pudu,puda,70,70,,XY,,Blackmon,Spotorno and Fernandez-Donoso 1975,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Rangifer,tarandus,70,70,,XY,,Blackmon,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Cervidae,Rucervus,duvaucelii,56,56,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Cervidae,Rucervus,eldii,58,58,,XY,,Animal Karyotype Book 2020,Frohlich et al. 2017,,,,,,,,,,,,,,
Artiodactyla,Ziphiidae,Berardius ,bairdii,44,44,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Delphinidae,Delphinus ,delphis,44,44,,XY,,Animal Karyotype Book,Arnason 1974a,,,,,,,,,,,,,,
Artiodactyla,Delphinidae,Globicephala,macrorhynchus,44,44,,XY,,Animal Karyotype Book,Arnason 1974a,,,,,,,,,,,,,,
Artiodactyla,Delphinidae,Lagenorhynchus,albirostris,44,44,,XY,,Animal Karyotype Book,Arnason 1980,,,,,,,,,,,,,,
Artiodactyla,Delphinidae,Orcinus,orca,44,44,,XY,,Blackmon,Arnason et al. 1980,,,,,,,,,,,,,,
Artiodactyla,Delphinidae,Stenella,attenuata,44,44,,XY,,Animal Karyotype Book,Stock 1981,,,,,,,,,,,,,,
Artiodactyla,Delphinidae,Stenella,clymene,44,44,,XY,,Animal Karyotype Book,Arnason 1980,,,,,,,,,,,,,,
Artiodactyla,Delphinidae,Tursiops,truncatus,44,44,,XY,,Blackmon,Bielec et al. 1997,,,,,,,,,,,,,,
Artiodactyla,Eschrichtiidae,Eschrichtius,robustus,44,44,,XY,,Animal Karyotype Book,Arnason 1981a,,,,,,,,,,,,,,
Artiodactyla,Giraffidae,Giraffa,tippelskirchi,30,30,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Giraffidae,Giraffa,camelopardalis,30,30,,XY,,Blackmon,Huang et al. 2008,,,,,,,,,,,,,,
Artiodactyla,Giraffidae,Okapia,johnstoni,45-46,45-46,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,36,36,,XY,,Animal Karyotype Book,Kulemzima et al. 2009,,,,,,,,,,,,,,
Artiodactyla,Hippopotamidae,Hexaprotodon,liberiensis,36,36,,XY,,Animal Karyotype Book 2020,Frohlich et al. 2016,,,,,,,,,,,,,,
Artiodactyla,Physeteridae,Kogia,breviceps,42,42,,XY,,Blackmon,Arnason and Benirscke 1973,,,,,,,,,,,,,,
Artiodactyla,Lipotidae,Lipotes,vexillifer,44,44,,XY,,Animal Karyotype Book,Minrong et al. 1986,,,,,,,,,,,,,,
Artiodactyla,Monodontidae,Delphinapterus,leucas,44,44,,XY,,Animal Karyotype Book,Jarrell and Arnason 1981,,,,,,,,,,,,,,
Artiodactyla,Moschidae,Moschus,moschiferus,58,58,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Moschidae,Moschus,berezovskii,58,58,,XY,,Animal Karyotype Book 2020,Chi et al. 2005a,,,,,,,,,,,,,,
Artiodactyla,Phocoenidae,Phocoena,phocoena,44,44,,XY,,Blackmon,Arnason 1980,,,,,,,,,,,,,,
Artiodactyla,Phocoenidae,Neophocaena,asiaeorientalis,44,44,,XY,,Animal Karyotype Book 2020,Nie et al. 2012,,,,,,,,,,,,,,
Artiodactyla,Physeteridae,Physeter,catodon,42,42,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Physeteridae,Physeter,macrocephalus,42,42,,XY,,Animal Karyotype Book,Arnason and Benirscke 1973,,,,,,,,,,,,,,
Artiodactyla,Suidae,Babyrousa,celebensis,38,38,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Suidae,Phacochoerus,africanus sundevallii,34,34,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Suidae,Potamochoerus,larvatus,34,34,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Suidae,Potamochoerus,porcus,34,34,,XY,,Animal Karyotype Book,Musilova et al. 2010,,,,,,,,,,,,,,
Artiodactyla,Suidae,Sus,barbatus,38,38,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Suidae,Sus,cebifrons,34,34,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Suidae,Sus,scrofa,36,36,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Suidae,Sus,scrofa domesticus,38,38,,XY,,Animal Karyotype Book,Biltueva et al. 2004,,,,,,,,,,,,,,
Artiodactyla,Suidae,Sus,scrofa scrofa,36,36,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Suidae,Phacochoerus,africanus,34,34,,XY,,Animal Karyotype Book 2020,Musilova et al. 2010,,,,,,,,,,,,,,
Artiodactyla,Suidae,Babyrousa,babyrussa,38,38,,XY,,Animal Karyotype Book 2020,Bosma et al. 1996,,,,,,,,,,,,,,
Artiodactyla,Tayassuidae,Catagonus,wagneri,20,20,,XY,,Animal Karyotype Book,Benirschke and Kumamoto 1989,,,,,,,,,,,,,,
Artiodactyla,Tayassuidae,Tayassu,pecari,26,26,,XY,,Animal Karyotype Book,Benirschke and Kumamoto 1989,,,,,,,,,,,,,,
Artiodactyla,Tayassuidae,Pecari,tajacu,30,30,,XY,,Blackmon,Benirschke and Kumamoto 1989,,,,,,,,,,,,,,
Artiodactyla,Tragulidae,Tragulus,javanicus,32,32,,XY,,Animal Karyotype Book,Gallagher et al. 1996,,,,,,,,,,,,,,
Artiodactyla,Ziphiidae,Mesoplodon,carlhubbsi,42,42,,XY,,Animal Karyotype Book,Arnason et al. 1977,,,,,,,,,,,,,,
Artiodactyla,Ziphiidae,Mesoplodon,europaeus,42,42,,XY,,Animal Karyotype Book,Arnason et al. 1977,,,,,,,,,,,,,,
Carnivora,Canidae,Vulpes,lagopus,50,50,,XY,,Blackmon,Nash et al. 2001,,,,,,,,,,,,,,
Carnivora,Canidae,Vulpes,lagopus,48-50,48-50,,XY,Chrom rearrangements,Animal Karyotype Book 2020,"Graphodatsky et al. 2000b, 2008a; Nash et al. 2001",,,,,,,,,,,,,,
Carnivora,Canidae,Atelocynus ,microtis,74,74,,XY,,Blackmon,Wurster-Hill and Centerwall 1982,,,,,,,,,,,,,,
Carnivora,Canidae,Canis,lupus familiaris,78,78,,XY,,Blackmon,Graphodatsky et al. 2000a,,,,,,,,,,,,,,
Carnivora,Canidae,Canis,latrans,78,78,,XY,,Blackmon,Wurster-Hill and Centerwall 1982,,,,,,,,,,,,,,
Carnivora,Canidae,Canis,lupus,78,78,,XY,,Animal Karyotype Book,Wurster-Hill and Centerwall 1982,,,,,,,,,,,,,,
Carnivora,Canidae,Cuon,alpinus,78,78,,XY,,Animal Karyotype Book 2020,Graphodatsky et al. 2008,,,,,,,,,,,,,,
Carnivora,Canidae,Cerdocyon,thous,74,74,,XY,,Animal Karyotype Book,Nash et al. 2001,,,,,,,,,,,,,,
Carnivora,Canidae,Chrysocyon ,brachyurus,76,76,,XY,,Animal Karyotype Book,Wayne et al. 1987a,,,,,,,,,,,,,,
Carnivora,Canidae,Vulpes,zerda,64,64,,XY,,Animal Karyotype Book,Graphodatsky et al. 2008,,,,,,,,,,,,,,
Carnivora,Canidae,Lycaon,pictus,38,38,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Canidae,Nyctereutes,procyonoides,42,42,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Canidae,Nyctereutes,procyonoides procyonoides,54,54,yes (3),XY,,Animal Karyotype Book,Graphodatsky et al. (Unpublished),,,,,,,,,,,,,,
Carnivora,Canidae,Nyctereutes,procyonoides viverrinus,38,38,yes (3),XY,,Animal Karyotype Book,Nash et al. 2001,,,,,,,,,,,,,,
Carnivora,Canidae,Otocyon ,megalotis,72,72,,XY,,Blackmon,Wayne et al. 1987a,,,,,,,,,,,,,,
Carnivora,Canidae,Speothos,venaticus,74,74,,XY,,Animal Karyotype Book,Wayne et al. 1987a,,,,,,,,,,,,,,
Carnivora,Canidae,Urocyon,cinereoargenteus,66,66,,XY,,Blackmon,Wayne et al. 1987a,,,,,,,,,,,,,,
Carnivora,Canidae,Vulpes,vulpes,36,36,,XY,,Blackmon,Wayne et al. 1987a,,,,,,,,,,,,,,
Carnivora,Canidae,Vulpes,vulpes,34,34,yes (3),XY,,Animal Karyotype Book,Rubtsova 1998,,,,,,,,,,,,,,
Carnivora,Canidae,Vulpes ,corsac,36,36,,XY,,Animal Karyotype Book,Graphodatsky et al. 2008,,,,,,,,,,,,,,
Carnivora,Canidae,Vulpes ,macrotis,50,50,,XY,,Animal Karyotype Book,Wayne et al. 1987a,,,,,,,,,,,,,,
Carnivora,Eupleridae,Cryptoprocta,ferox,42,42,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Carnivora,Eupleridae,Fossa,fossana,42,42,,XY,,Animal Karyotype Book,Nash (Unpublished),,,,,,,,,,,,,,
Carnivora,Eupleridae,Galidia,elegans,44,44,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1975,,,,,,,,,,,,,,
Carnivora,Felidae,Acinonyx,jubatus,38,38,,XY,,Blackmon,Nash (Unpublished),,,,,,,,,,,,,,
Carnivora,Felidae,Caracal,caracal,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1973,,,,,,,,,,,,,,
Carnivora,Felidae,Felis,catus,38,38,,XY,,Blackmon,Cho et al. 1997,,,,,,,,,,,,,,
Carnivora,Felidae,Felis,chaus,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1973,,,,,,,,,,,,,,
Carnivora,Felidae,Felis,margarita,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1975,,,,,,,,,,,,,,
Carnivora,Felidae,Pardofelis,marmorata,38,38,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Felidae,Felis,nigripes,38,38,,XY,,Blackmon,Nash (Unpublished),,,,,,,,,,,,,,
Carnivora,Felidae,Felis,silvestris,38,38,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Felidae,Felis,viverrina,38,38,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Felidae,Leopardus,wiedii,36,36,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Felidae,Puma,yagouaroundi,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1973,,,,,,,,,,,,,,
Carnivora,Felidae,Leopardus,geoffroyi,36,36,,XY,,Animal Karyotype Book,Nash (Unpublished),,,,,,,,,,,,,,
Carnivora,Felidae,Leopardus,pardalis,36,36,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1975,,,,,,,,,,,,,,
Carnivora,Felidae,Leopardus,tigrinus,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Centerwall 1982,,,,,,,,,,,,,,
Carnivora,Felidae,Leopardus,tigrinus,36,36,,XY,,Animal Karyotype Book 2020,Wurster-Hill and Centerwall 1982,,,,,,,,,,,,,,
Carnivora,Felidae,Leopardus,colocolo,36,36,,XY,,Animal Karyotype Book 2020,Wurster-Hill and Gray 1973,,,,,,,,,,,,,,
Carnivora,Felidae,Leptailurus,serval,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Centerwall 1982,,,,,,,,,,,,,,
Carnivora,Felidae,Lynchailurus,colocolo,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1973,,,,,,,,,,,,,,
Carnivora,Felidae,Lynx ,lynx ,38,38,,XY,,Animal Karyotype Book,Nie et al. 2012,,,,,,,,,,,,,,
Carnivora,Felidae,Lynx ,rufus,38,38,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Felidae,Neofelis,nebulosa,38,38,,XY,,Animal Karyotype Book,Tian et al. 2004,,,,,,,,,,,,,,
Carnivora,Felidae,Neofelis,diardi,38,38,,XY,,Animal Karyotype Book,Nash (Unpublished),,,,,,,,,,,,,,
Carnivora,Felidae,Otocolobus,manul,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1975,,,,,,,,,,,,,,
Carnivora,Felidae,Panthera,leo,38,38,,XY,,Animal Karyotype Book,Tian et al. 2004,,,,,,,,,,,,,,
Carnivora,Felidae,Panthera,pardus,38,38,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Felidae,Panthera,tigris,38,38,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Felidae,Panthera,tigris altaica,38,38,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Carnivora,Felidae,Prionailurus,bengalensis,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1973,,,,,,,,,,,,,,
Carnivora,Felidae,Prionailurus,viverrinus,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1973,,,,,,,,,,,,,,
Carnivora,Felidae,Prionailurus,bengalensis euptilurus,38,38,,XY,,Animal Karyotype Book 2020,Proskuryakova et al. (Unpublished),,,,,,,,,,,,,,
Carnivora,Felidae,Catopuma,temmincki,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1973,,,,,,,,,,,,,,
Carnivora,Felidae,Puma,concolor,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1973,,,,,,,,,,,,,,
Carnivora,Felidae,Panthera,uncia,38,38,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Herpestidae,Atilax,paludinosus,36,35,,complex XY,X1X2Y,Animal Karyotype Book,Wurster-Hill and Gray 1975,,,,,,,,,,,,,,
Carnivora,Herpestidae,Bdeogale,sp.,36,36,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1975,,,,,,,,,,,,,,
Carnivora,Herpestidae,Helogale,parvula,36,36,,XY,,Animal Karyotype Book,Nash (Unpublished),,,,,,,,,,,,,,
Carnivora,Herpestidae,Urva,auropunctatus,36,35,,complex XY,X1X2Y,Blackmon,,,,,,,,,,,,,,,
Carnivora,Herpestidae,Urva,javanicus,36,36,,XY,,Animal Karyotype Book,Yang and Nie (Unpublished),,,,,,,,,,,,,,
Carnivora,Herpestidae,Suricata,suricatta,36,36,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Hyaenidae,Crocuta,crocuta,40,40,,XY,,Blackmon,Perelman et al. 2005,,,,,,,,,,,,,,
Carnivora,Hyaenidae,Parahyaena,brunnea,40,40,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Hyaenidae,Proteles ,cristatus,40,40,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Mephitidae,Mephitis ,mephitis,50,50,,XY,,Blackmon,Perelman et al. 2008,,,,,,,,,,,,,,
Carnivora,Mephitidae,Mephitis ,macroura,50,50,,XY,,Animal Karyotype Book 2020,Perelman et al. 2008,,,,,,,,,,,,,,
Carnivora,Mephitidae,Conepatus,leuconotus,46,46,,XY,,Animal Karyotype Book 2020,Perelman et al. 2008,,,,,,,,,,,,,,
Carnivora,Mephitidae,Spilogale ,gracilis,60,60,,XY,,Animal Karyotype Book 2020,Perelman et al. 2008,,,,,,,,,,,,,,
Carnivora,Mustelidae,Aonyx,cinereus,38,38,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Mustelidae,Eira,barbara,38,38,,XY,,Blackmon,Wurster-Hill and Centerwall 1982,,,,,,,,,,,,,,
Carnivora,Mustelidae,Enhydra,lutris,38,38,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Mustelidae,Galictis,vittata,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Centerwall 1982,,,,,,,,,,,,,,
Carnivora,Mustelidae,Gulo,gulo,42,42,,XY,,Blackmon,Graphodatsky (Unpublished),,,,,,,,,,,,,,
Carnivora,Mustelidae,Ictonyx,striatus,38,38,,XY,,Animal Karyotype Book,Graphodatsky et al. 2002,,,,,,,,,,,,,,
Carnivora,Mustelidae,Lutra,lutra,36,36,,XY,,Animal Karyotype Book,Graphodatsky (Unpublished),,,,,,,,,,,,,,
Carnivora,Mustelidae,Lutra,lutra,38,38,,XY,,Animal Karyotype Book 2020,Graphodatsky (Unpublished),,,,,,,,,,,,,,
Carnivora,Mustelidae,Martes ,americana,38,38,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Mustelidae,Martes ,flavigula,40,40,,XY,,Animal Karyotype Book,Nie et al. 2002,,,,,,,,,,,,,,
Carnivora,Mustelidae,Martes ,foina,38,38,,XY,,Animal Karyotype Book,Nie et al. 2002,,,,,,,,,,,,,,
Carnivora,Mustelidae,Martes ,martes,38,38,,XY,,Animal Karyotype Book,Graphodatsky (Unpublished),,,,,,,,,,,,,,
Carnivora,Mustelidae,Martes ,melampus,38,38,,XY,,Animal Karyotype Book,Graphodatsky et al. 2002,,,,,,,,,,,,,,
Carnivora,Mustelidae,Martes ,zibellina,38,38,,XY,,Animal Karyotype Book,Graphodatsky (Unpublished),,,,,,,,,,,,,,
Carnivora,Mustelidae,Meles,meles,44,44,,XY,,Animal Karyotype Book,Nie et al. 2002,,,,,,,,,,,,,,
Carnivora,Mustelidae,Mellivora,capensis,40,40,,XY,,Animal Karyotype Book,Wurster-Hill and Centerwall 1982,,,,,,,,,,,,,,
Carnivora,Mustelidae,Melogale ,moschata,38,38,,XY,,Blackmon,Nie et al. 2002,,,,,,,,,,,,,,
Carnivora,Mustelidae,Melogale ,sp.,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Centerwall 1982,,,,,,,,,,,,,,
Carnivora,Mustelidae,Mustela,altaica,44,44,,XY,,Blackmon,Graphodatsky et al. 2002,,,,,,,,,,,,,,
Carnivora,Mustelidae,Mustela,erminea,44,44,,XY,,Blackmon,Graphodatsky (Unpublished),,,,,,,,,,,,,,
Carnivora,Mustelidae,Mustela,frenata,42,42,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Mustelidae,Mustela,lutreola,38,38,,XY,,Animal Karyotype Book,Graphodatsky et al. 2002,,,,,,,,,,,,,,
Carnivora,Mustelidae,Mustela,nivalis,42,42,,XY,,Animal Karyotype Book,Perelman and Graphodatsky (Unpublished),,,,,,,,,,,,,,
Carnivora,Mustelidae,Neovison,vison,30,30,,XY,,Blackmon,Serov (1998),,,,,,,,,,,,,,
Carnivora,Mustelidae,Mustela ,eversmanni,38,38,,XY,,Animal Karyotype Book,Graphodatsky et al. 2002,,,,,,,,,,,,,,
Carnivora,Mustelidae,Mustela ,putorius furo,40,40,,XY,,Blackmon,Cavagna et al. 2000,,,,,,,,,,,,,,
Carnivora,Mustelidae,Mustela ,putorius,40,40,,XY,,Animal Karyotype Book,Graphodatsky et al. 2002,,,,,,,,,,,,,,
Carnivora,Mustelidae,Mustela ,sibirica,38,38,,XY,,Animal Karyotype Book,Graphodatsky (Unpublished),,,,,,,,,,,,,,
Carnivora,Mustelidae,Mustela ,sibirica itatsi,38,38,,XY,,Animal Karyotype Book,Graphodatsky (Unpublished),,,,,,,,,,,,,,
Carnivora,Mustelidae,Mustela,itatsi,38,38,,XY,,Animal Karyotype Book 2020,Graphodatsky (Unpublished),,,,,,,,,,,,,,
Carnivora,Mustelidae,Mustela,nigripes,38,38,,XY,,Animal Karyotype Book 2020,Houck (Unpublished),,,,,,,,,,,,,,
Carnivora,Mephitidae,Spilogale ,gracilis latifrons,60,60,,XY,,Animal Karyotype Book,Benirschke 1969,,,,,,,,,,,,,,
Carnivora,Mephitidae,Spilogale ,putorius,64,64,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Mephitidae,Spilogale ,putorius interrupta,64,64,,XY,,Animal Karyotype Book,Benirschke 1969,,,,,,,,,,,,,,
Carnivora,Mustelidae,Taxidea,taxus,32,32,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Mustelidae,Vormela,peregusna,38,38,,XY,,Animal Karyotype Book,Graphodatsky (Unpublished),,,,,,,,,,,,,,
Carnivora,Nandiniidae,Nandinia,binotata,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1975,,,,,,,,,,,,,,
Carnivora,Odobenidae,Odobenus,rosmarus,32,32,,XY,,Animal Karyotype Book,Arnason 1977,,,,,,,,,,,,,,
Carnivora,Otariidae,Arctocephalus,pusillus,36,36,,XY,,Animal Karyotype Book,Arnason 1977,,,,,,,,,,,,,,
Carnivora,Otariidae,Callorhinus ,ursinus,36,36,,XY,,Blackmon,Arnason 1977,,,,,,,,,,,,,,
Carnivora,Otariidae,Eumetopias,jubatus,36,36,,XY,,Blackmon,Arnason 1974b,,,,,,,,,,,,,,
Carnivora,Otariidae,Zalophus,californianus,36,36,,XY,,Blackmon,Arnason 1974a,,,,,,,,,,,,,,
Carnivora,Otariidae,Phocarctos,hookeri,36,36,,XY,,Animal Karyotype Book 2020,Beklemisheva (Unpublished),,,,,,,,,,,,,,
Carnivora,Otariidae,Arctocephalus,forsteri,36,36,,XY,,Animal Karyotype Book 2020,Beklemisheva (Unpublished),,,,,,,,,,,,,,
Carnivora,Phocidae,Cystophora,cristata,34,34,,XY,,Blackmon,Arnason 1974b,,,,,,,,,,,,,,
Carnivora,Phocidae,Erignathus,barbatus,34,34,,XY,,Blackmon,Arnason 1974b,,,,,,,,,,,,,,
Carnivora,Phocidae,Halichoerus,grypus,32,32,,XY,,Blackmon,Arnason 1970a,,,,,,,,,,,,,,
Carnivora,Phocidae,Leptonychotes,weddelli,34,34,,XY,,Animal Karyotype Book,Arnason 1974b,,,,,,,,,,,,,,
Carnivora,Phocidae,Mirounga,angustirostris,34,34,,XY,,Animal Karyotype Book,Arnason 1974b,,,,,,,,,,,,,,
Carnivora,Phocidae,Neomonachus,schauinslandi,34,34,,XY,,Animal Karyotype Book,Arnason 1974b,,,,,,,,,,,,,,
Carnivora,Phocidae,Phoca,groenlandicus,32,32,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Phocidae,Phoca,fasciata,32,32,,XY,,Animal Karyotype Book,Arnason 1977,,,,,,,,,,,,,,
Carnivora,Phocidae,Phoca,vitulina,32,32,,XY,,Blackmon,Fronicke et al. 1997,,,,,,,,,,,,,,
Carnivora,Phocidae,Pusa,hispida,32,32,,XY,,Blackmon,Arnason 1974c,,,,,,,,,,,,,,
Carnivora,Phocidae,Phoca,largha,32,32,,XY,,Animal Karyotype Book 2020,Beklemisheva (Unpublished),,,,,,,,,,,,,,
Carnivora,Phocidae,Pusa,sibirica,32,32,,XY,,Animal Karyotype Book 2020,Beklemisheva et al. 2016,,,,,,,,,,,,,,
Carnivora,Ailuridae,Ailurus ,fulgens,36,36,,XY,,Blackmon,Ni et al. 2002,,,,,,,,,,,,,,
Carnivora,Procyonidae,Bassariscus,astutus,38,38,,XY,,Blackmon,Nash et al. 2008,,,,,,,,,,,,,,
Carnivora,Procyonidae,Brassaricyon,sp.,38,38,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1975,,,,,,,,,,,,,,
Carnivora,Procyonidae,Nasua ,nasua,38,38,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Procyonidae,Potos ,flavus,38,38,,XY,,Blackmon,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Carnivora,Procyonidae,Procyon ,lotor,38,38,,XY,,Blackmon,Stanyon et al. 1993,,,,,,,,,,,,,,
Carnivora,Ursidae,Ailuropoda,melanoleuca,42,42,,XY,,Animal Karyotype Book,Nash et al. 2001,,,,,,,,,,,,,,
Carnivora,Ursidae,Helarctos ,malayanus,74,74,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Ursidae,Ursus,thibetanus,74,74,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Ursidae,Tremarctos,ornatus,52,52,,XY,,Animal Karyotype Book,Nash et al. 1998,,,,,,,,,,,,,,
Carnivora,Ursidae,Ursus ,americanus,74,74,,XY,,Blackmon,Nash and O'Brien 1987,,,,,,,,,,,,,,
Carnivora,Ursidae,Ursus ,arctos,74,74,,XY,,Animal Karyotype Book,Nash and O'Brien 1987,,,,,,,,,,,,,,
Carnivora,Ursidae,Helarctos,malayanus,74,74,,XY,,Animal Karyotype Book,Nash and O'Brien 1987,,,,,,,,,,,,,,
Carnivora,Ursidae,Ursus ,maritimus,74,74,,XY,,Animal Karyotype Book,Nash and O'Brien 1987,,,,,,,,,,,,,,
Carnivora,Ursidae,Ursus ,thibetanus,74,74,,XY,,Animal Karyotype Book,Nash and O'Brien 1987,,,,,,,,,,,,,,
Carnivora,Ursidae,Melursus,ursinus,74,74,,XY,,Animal Karyotype Book,Nash and O'Brien 1987,,,,,,,,,,,,,,
Carnivora,Viverridae,Arctictis ,binturong,42,42,,XY,,Blackmon,Wurster-Hill and Gray 1975,,,,,,,,,,,,,,
Carnivora,Viverridae,Arctogalidia ,trivirgata stigmatica,40,40,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Viverridae,Genetta ,genetta,54,54,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Carnivora,Viverridae,Genetta ,genetta neumanni,52,52,,XY,,Blackmon,,,,,,,,,,,,,,,
Carnivora,Viverridae,Genetta ,tigrina,54,54,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Carnivora,Viverridae,Hemigalus,derbyanus,42,42,,XY,,Animal Karyotype Book,Wurster-Hill and Gray 1975,,,,,,,,,,,,,,
Carnivora,Viverridae,Paguma,larvata,44,44,,XY,,Animal Karyotype Book,Perelman et al. 2005,,,,,,,,,,,,,,
Carnivora,Viverridae,Paradoxurus,hermaphroditus,42,42,,XY,,Blackmon,Wurster-Hill and Gray 1975,,,,,,,,,,,,,,
Carnivora,Viverridae,Prionodon,linsang,34,34,,XY,,Blackmon,Wurster-Hill and Gray 1975,,,,,,,,,,,,,,
Carnivora,Viverridae,Viverricula,indica,38,38,,XY,,Blackmon,Wurster-Hill and Gray 1975,,,,,,,,,,,,,,
Carnivora,Viverridae,Genetta ,johnstoni,50,50,,XY,,Animal Karyotype Book 2020,Gaubert et al. 2004,,,,,,,,,,,,,,
Carnivora,Viverridae,Genetta ,maculata,52,52,,XY,,Animal Karyotype Book 2020,Matoso Silva et al. 2016,,,,,,,,,,,,,,
Carnivora,Viverridae,Genetta ,pardina,52,52,,XY,,Animal Karyotype Book 2020,Beklemisheva (Unpublished),,,,,,,,,,,,,,
Carnivora,Viverridae,Viverricula,indica,36,36,,XY,,Animal Karyotype Book 2020,Nie et al. 2012,,,,,,,,,,,,,,
Chiroptera,Emballonuridae,Taphozous,longimanus,42,42,,XY,,Blackmon,Sreepada et al. 1995,,,,,,,,,,,,,,
Chiroptera,Emballonuridae,Taphozous,melanopogon,42,42,,XY,,Animal Karyotype Book,Sreepada et al. 1995,,,,,,,,,,,,,,
