Order,Family,Genus,species,female2n,male2n,B chromosomes,sex.chromosome.system,"notes, comments",Source,Study,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Bubalus ,depressicornis depressicornis,48,48,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Antidorcas,marsupialis,56,56,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Antilope,cervicapra,30-33,30-33,,XY,,Animal Karyotype Book,Cerohorska et al. 2012,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Bison,bison,60,60,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Bison ,bonasus,60,60,,XY,,Animal Karyotype Book,Graphodatsky (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Bos,frontalis (gayal),58,58,,XY,,Animal Karyotype Book 2020,Chi et al. 2005a,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Bos,frontalis (gaurus),58,58,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Bos,grunniens,60,60,,XY,,Animal Karyotype Book,Craphodatsky and Biltueva (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Bos,indicus,60,60,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Bos,javanicus,60,60,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Bos,taurus,60,60,,XY,,Blackmon,Hayes et al. 1995,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Boselaphus,tragocamelus,46,46,,XY,rujuvenation of autosome 14 o sex chromosomes,Blackmon,Gallagher et al. 1998,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Bubalus,bubalis,50,50,,XY,,Blackmon,Iannuzzi 1994,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Bubalus,depressicornis,48,48,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Budorcas,taxicolor,52,52,,XY,,Animal Karyotype Book,Rubes et al. 2012,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Capra,cylindricornis,60,60,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Capra,hircus,60,60,,XY,,Blackmon,Biltueva and Graphodatsky (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Capra,ibex,60,60,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Capra,pyrenaica hispanica,60,60,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Capra,hircus ,60,60,,XY,,Animal Karyotype Book 2020,Biltueva and Graphodatsky (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Capra,aegagrus,60,60,,XY,,Animal Karyotype Book 2020,Huang et al. 2005,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Capricornis ,crispus,50,50,,XY,,Blackmon,Biltueva et al. (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Capricornis ,sumatraensis,48,48,,XY,,Animal Karyotype Book 2020,Huang et al. 2005,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Cephalophus,dorsalis,60,60,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Philantomba,monticola,60,60,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Cephalophus,niger,60,60,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Cephalophus,rufilatus,60,60,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Cephalophus,silvicultor,60,60,,XY,,Blackmon,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Connochaetes,gnou,58,58,,XY,,Blackmon,Rubes et al.2012,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Connochaetes,taurinus,58,58,,XY,,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Connochaetes,taurinus albojubatus,58,58,,XY,,Animal Karyotype Book,Rubes et al. 2012,,,,,,,,,,,,,,
